season,game_date,home_team,away_team,home_games_played,home_wins,home_win_pct,home_ppg,home_opp_ppg,home_point_diff,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,home_steals,home_blocks,home_plus_minus,home_last_5_ppg,home_last_10_ppg,home_last_5_wins,home_last_10_wins,away_games_played,away_wins,away_win_pct,away_ppg,away_opp_ppg,away_point_diff,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,away_steals,away_blocks,away_plus_minus,away_last_5_ppg,away_last_10_ppg,away_last_5_wins,away_last_10_wins,win_pct_diff,ppg_diff,point_diff_diff,fg_pct_diff,fg3_pct_diff,turnover_diff,rebound_diff,expected_total_simple,expected_total_vs_defense,home_momentum,away_momentum,actual_total,home_score,away_score,game_id
2022-23,2022-10-19,SAS,,0,0,0.5,110.0,110.0,0.0,0.46,0.36,0.78,43.0,25.0,14.0,7.5,5.0,0.0,110.0,110.0,0,0,0,0,0.5,110.0,110.0,0.0,0.46,0.36,0.78,43.0,25.0,14.0,7.5,5.0,0.0,110.0,110.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,-2.5,-2.5,231,102,129,0022200011
2022-23,2022-10-20,LAL,,1,0,0.0,109.0,123.0,-14.0,0.426,0.25,0.76,48.0,23.0,22.0,12.0,4.0,-14.0,109.0,109.0,0,0,0,0,0.5,110.0,110.0,0.0,0.46,0.36,0.78,43.0,25.0,14.0,7.5,5.0,0.0,110.0,110.0,0,0,-0.5,-1.0,-14.0,-0.03400000000000003,-0.10999999999999999,-8.0,5.0,219.0,219.0,-2.5,-2.5,200,97,103,0022200016
2022-23,2022-10-20,PHI,,1,0,0.0,117.0,126.0,-9.0,0.5,0.382,0.857,31.0,16.0,14.0,8.0,3.0,-9.0,117.0,117.0,0,0,0,0,0.5,110.0,110.0,0.0,0.46,0.36,0.78,43.0,25.0,14.0,7.5,5.0,0.0,110.0,110.0,0,0,-0.5,7.0,-9.0,0.03999999999999998,0.02200000000000002,0.0,-12.0,227.0,227.0,-2.5,-2.5,178,88,90,0022200015
2022-23,2022-10-21,ATL,,1,1,1.0,117.0,107.0,10.0,0.5,0.28,0.833,38.0,30.0,9.0,12.0,5.0,10.0,117.0,117.0,1,1,1,0,0.0,109.0,113.0,-4.0,0.488,0.367,0.737,48.0,21.0,18.0,5.0,5.0,-4.0,109.0,109.0,0,0,1.0,8.0,14.0,0.01200000000000001,-0.08699999999999997,9.0,-10.0,226.0,230.0,-1.5,-2.5,206,108,98,0022200020
2022-23,2022-10-21,MIA,,1,0,0.0,108.0,116.0,-8.0,0.463,0.429,0.786,46.0,21.0,19.0,6.0,2.0,-8.0,108.0,108.0,0,0,1,1,1.0,126.0,117.0,9.0,0.561,0.343,0.786,36.0,24.0,11.0,8.0,3.0,9.0,126.0,126.0,1,1,-1.0,-18.0,-17.0,-0.09800000000000003,0.08599999999999997,-8.0,10.0,234.0,225.0,-2.5,-1.5,215,104,111,0022200022
2022-23,2022-10-21,CHA,,1,1,1.0,129.0,102.0,27.0,0.511,0.448,0.87,51.0,26.0,15.0,7.0,10.0,27.0,129.0,129.0,1,1,1,1,1.0,130.0,108.0,22.0,0.49,0.462,0.72,61.0,31.0,13.0,9.0,4.0,22.0,130.0,130.0,1,1,0.0,-1.0,5.0,0.02100000000000002,-0.014000000000000012,-2.0,-10.0,259.0,237.0,-1.5,-1.5,236,112,124,0022200017
2022-23,2022-10-21,WAS,,1,1,1.0,114.0,107.0,7.0,0.457,0.355,0.792,53.0,21.0,17.0,5.0,10.0,7.0,114.0,114.0,1,1,1,1,1.0,116.0,108.0,8.0,0.441,0.361,0.75,46.0,23.0,15.0,12.0,6.0,8.0,116.0,116.0,1,1,0.0,-2.0,-1.0,0.016000000000000014,-0.006000000000000005,-2.0,7.0,230.0,222.0,-1.5,-1.5,202,102,100,0022200019
2022-23,2022-10-21,GSW,,1,1,1.0,123.0,109.0,14.0,0.455,0.356,0.739,48.0,31.0,18.0,11.0,4.0,14.0,123.0,123.0,1,1,1,0,0.0,102.0,123.0,-21.0,0.482,0.227,0.944,35.0,21.0,21.0,10.0,3.0,-21.0,102.0,102.0,0,0,1.0,21.0,35.0,-0.02699999999999997,0.12899999999999998,3.0,13.0,225.0,246.0,-1.5,-2.5,251,123,128,0022200026
2022-23,2022-10-21,HOU,,1,0,0.0,107.0,117.0,-10.0,0.429,0.257,0.933,54.0,25.0,16.0,4.0,3.0,-10.0,107.0,107.0,0,0,1,1,1.0,115.0,112.0,3.0,0.389,0.34,0.609,64.0,27.0,14.0,6.0,7.0,3.0,115.0,115.0,1,1,-1.0,-8.0,-13.0,0.03999999999999998,-0.08300000000000002,-2.0,-10.0,222.0,219.0,-2.5,-1.5,251,122,129,0022200024
2022-23,2022-10-21,MIN,,1,1,1.0,115.0,108.0,7.0,0.415,0.263,0.818,55.0,25.0,14.0,6.0,5.0,7.0,115.0,115.0,1,1,1,1,1.0,123.0,102.0,21.0,0.506,0.421,0.742,43.0,27.0,20.0,10.0,1.0,21.0,123.0,123.0,1,1,0.0,-8.0,-14.0,-0.09100000000000003,-0.15799999999999997,6.0,12.0,238.0,217.0,-1.5,-1.5,258,126,132,0022200025
2022-23,2022-10-21,BKN,,1,0,0.0,108.0,130.0,-22.0,0.449,0.303,0.75,39.0,22.0,16.0,10.0,10.0,-22.0,108.0,108.0,0,0,1,1,1.0,108.0,105.0,3.0,0.419,0.433,0.719,41.0,19.0,13.0,15.0,4.0,3.0,108.0,108.0,1,1,-1.0,0.0,-25.0,0.030000000000000027,-0.13,-3.0,-2.0,216.0,213.0,-2.5,-1.5,214,109,105,0022200021
2022-23,2022-10-21,NYK,,1,0,0.0,112.0,115.0,-3.0,0.404,0.243,0.833,54.0,28.0,12.0,7.0,5.0,-3.0,112.0,112.0,0,0,1,1,1.0,113.0,109.0,4.0,0.426,0.368,0.792,41.0,31.0,13.0,11.0,4.0,4.0,113.0,113.0,1,1,-1.0,-1.0,-7.0,-0.021999999999999964,-0.125,1.0,13.0,225.0,221.0,-2.5,-1.5,236,130,106,0022200023
2022-23,2022-10-21,IND,,1,0,0.0,107.0,114.0,-7.0,0.402,0.357,0.667,42.0,21.0,15.0,7.0,5.0,-7.0,107.0,107.0,0,0,1,0,0.0,102.0,129.0,-27.0,0.404,0.206,0.714,44.0,22.0,15.0,8.0,8.0,-27.0,102.0,102.0,0,0,0.0,5.0,20.0,-0.0020000000000000018,0.151,0.0,-2.0,209.0,236.0,-2.5,-2.5,271,134,137,0022200018
2022-23,2022-10-21,POR,,1,1,1.0,115.0,108.0,7.0,0.443,0.393,0.788,44.0,20.0,11.0,11.0,2.0,7.0,115.0,115.0,1,1,1,1,1.0,107.0,105.0,2.0,0.471,0.364,0.864,40.0,25.0,12.0,4.0,5.0,2.0,107.0,107.0,1,1,0.0,8.0,5.0,-0.02799999999999997,0.029000000000000026,1.0,4.0,222.0,220.0,-1.5,-1.5,224,113,111,0022200027
2022-23,2022-10-22,ORL,,2,0,0.0,103.5,110.5,-7.0,0.4505,0.301,0.7685,46.0,18.5,18.5,7.0,6.0,-7.0,103.5,103.5,0,0,2,2,1.0,118.5,110.5,8.0,0.54,0.3835,0.893,39.5,20.5,15.5,6.0,7.0,8.0,118.5,118.5,2,2,-1.0,-15.0,-15.0,-0.08950000000000002,-0.08250000000000002,-3.0,6.5,222.0,214.0,-2.5,-0.5,246,120,126,0022200030
2022-23,2022-10-22,CHI,,2,1,0.5,108.0,105.0,3.0,0.4295,0.31,0.784,42.0,21.0,14.0,10.0,4.5,3.0,108.0,108.0,1,1,1,0,0.0,105.0,108.0,-3.0,0.494,0.357,0.826,38.0,25.0,17.0,5.0,5.0,-3.0,105.0,105.0,0,0,0.5,3.0,6.0,-0.0645,-0.046999999999999986,3.0,4.0,213.0,216.0,-1.5,-2.5,224,96,128,0022200032
2022-23,2022-10-22,DAL,,1,0,0.0,105.0,107.0,-2.0,0.467,0.4,0.618,40.0,17.0,12.0,6.0,4.0,-2.0,105.0,105.0,0,0,2,2,1.0,122.0,117.0,5.0,0.42400000000000004,0.396,0.6495,57.0,26.5,13.0,7.0,8.5,5.0,122.0,122.0,2,2,-1.0,-17.0,-7.0,0.04299999999999998,0.0040000000000000036,1.0,-17.0,227.0,222.0,-2.5,-0.5,233,137,96,0022200034
2022-23,2022-10-22,DEN,,2,1,0.5,115.0,123.0,-8.0,0.5085,0.334,0.8919999999999999,38.0,25.5,20.5,10.0,2.5,-8.0,115.0,115.0,1,1,1,0,0.0,108.0,115.0,-7.0,0.384,0.311,0.818,57.0,22.0,14.0,6.0,6.0,-7.0,108.0,108.0,0,0,0.5,7.0,-1.0,0.12449999999999994,0.02300000000000002,-6.5,-19.0,223.0,230.0,-1.5,-2.5,239,122,117,0022200035
2022-23,2022-10-22,MIL,,1,1,1.0,90.0,88.0,2.0,0.405,0.31,0.643,48.0,24.0,14.0,4.0,6.0,2.0,90.0,90.0,1,1,2,0,0.0,114.5,123.0,-8.5,0.45099999999999996,0.357,0.7665,49.5,21.5,15.0,4.0,4.5,-8.5,114.5,114.5,0,0,1.0,-24.5,10.5,-0.04599999999999993,-0.046999999999999986,1.0,-1.5,204.5,213.0,-1.5,-2.5,230,125,105,0022200033
2022-23,2022-10-22,SAC,,1,0,0.0,108.0,115.0,-7.0,0.459,0.386,0.684,41.0,27.0,16.0,8.0,5.0,-7.0,108.0,108.0,0,0,1,1,1.0,103.0,97.0,6.0,0.463,0.31,0.645,58.0,18.0,23.0,7.0,7.0,6.0,103.0,103.0,1,1,-1.0,5.0,-13.0,-0.0040000000000000036,0.07600000000000001,7.0,-17.0,211.0,205.0,-2.5,-1.5,220,109,111,0022200036
2022-23,2022-10-22,MIA,,2,0,0.0,106.0,113.5,-7.5,0.46,0.3685,0.793,41.0,22.0,14.5,7.0,2.5,-7.5,106.0,106.0,0,0,2,1,0.5,106.5,107.0,-0.5,0.4535,0.41300000000000003,0.6930000000000001,41.0,22.0,14.0,12.0,4.0,-0.5,106.5,106.5,1,1,-0.5,-0.5,-7.0,0.006500000000000006,-0.04450000000000004,-0.5,0.0,212.5,213.0,-2.5,-1.5,221,112,109,0022200031
