Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-11-07,Arkansas Razorbacks,Alcorn St Braves,145.0,5,152,2023-11-06,-1,7.0,7.0
2023-11-07,Wisconsin Badgers,Arkansas St Red Wolves,135.2,4,181,2023-11-06,-1,45.80000000000001,45.80000000000001
2023-11-07,Arkansas-Little Rock Trojans,Texas State Bobcats,141.2,4,137,2023-11-06,-1,-4.199999999999989,4.199999999999989
2023-11-07,Missouri Tigers,Arkansas-Pine Bluff Golden Lions,149.5,1,180,2023-11-06,-1,30.5,30.5
2023-11-07,Army Knights,Marist Red Foxes,136.5,1,126,2023-11-06,-1,-10.5,10.5
2023-11-07,Minnesota Golden Gophers,Bethune-Cookman Wildcats,139.8,2,140,2023-11-06,-1,0.19999999999998863,0.19999999999998863
2023-11-07,Northwestern Wildcats,Binghamton Bearcats,135.8,2,133,2023-11-06,-1,-2.8000000000000114,2.8000000000000114
2023-11-07,Boston College Eagles,Fairfield Stags,132.5,4,159,2023-11-06,-1,26.5,26.5
2023-11-07,Northeastern Huskies,Boston Univ. Terriers,131.2,2,125,2023-11-06,-1,-6.199999999999989,6.199999999999989
2023-11-07,UAB Blazers,Bradley Braves,140.2,4,144,2023-11-06,-1,3.8000000000000114,3.8000000000000114
2023-11-07,Butler Bulldogs,Eastern Michigan Eagles,141.5,4,149,2023-11-06,-1,7.5,7.5
2023-11-07,Campbell Fighting Camels,Navy Midshipmen,131.0,1,107,2023-11-06,-1,-24.0,24.0
2023-11-07,Tulsa Golden Hurricane,Central Arkansas Bears,149.5,2,123,2023-11-06,-1,-26.5,26.5
2023-11-07,Oklahoma Sooners,Central Michigan Chippewas,136.5,4,148,2023-11-06,-1,11.5,11.5
2023-11-07,Illinois Fighting Illini,Eastern Illinois Panthers,141.6,5,132,2023-11-06,-1,-9.599999999999994,9.599999999999994
2023-11-07,Wake Forest Demon Deacons,Elon Phoenix,142.0,4,179,2023-11-06,-1,37.0,37.0
2023-11-07,Evansville Purple Aces,Miami (OH) RedHawks,142.4,5,136,2023-11-06,-1,-6.400000000000006,6.400000000000006
2023-11-07,Florida Gators,Loyola (MD) Greyhounds,141.0,2,166,2023-11-06,-1,25.0,25.0
2023-11-07,UCF Knights,Florida Int'l Golden Panthers,139.5,2,147,2023-11-06,-1,7.5,7.5
2023-11-07,George Washington Colonials,Stonehill Skyhawks,144.8,2,133,2023-11-06,-1,-11.800000000000011,11.800000000000011
2023-11-07,Iowa State Cyclones,Green Bay Phoenix,133.1,5,129,2023-11-06,-1,-4.099999999999994,4.099999999999994
2023-11-07,Texas Longhorns,Incarnate Word Cardinals,144.7,5,144,2023-11-06,-1,-0.6999999999999886,0.6999999999999886
2023-11-07,Memphis Tigers,Jackson St Tigers,147.5,1,171,2023-11-06,-1,23.5,23.5
2023-11-07,Kansas Jayhawks,North Carolina Central Eagles,142.4,5,155,2023-11-06,-1,12.599999999999994,12.599999999999994
2023-11-07,Kentucky Wildcats,New Mexico St Aggies,141.9,7,132,2023-11-06,-1,-9.900000000000006,9.900000000000006
2023-11-07,LSU Tigers,Miss Valley St Delta Devils,138.0,5,166,2023-11-06,-1,28.0,28.0
2023-11-07,Nebraska Cornhuskers,Lindenwood Lions,142.5,5,136,2023-11-06,-1,-6.5,6.5
2023-11-07,UT-Arlington Mavericks,Oral Roberts Golden Eagles,144.7,5,146,2023-11-06,-1,1.3000000000000114,1.3000000000000114
2023-11-07,Xavier Musketeers,Robert Morris Colonials,143.6,5,140,2023-11-06,-1,-3.5999999999999943,3.5999999999999943
2023-11-07,Saint Louis Billikens,Southern Indiana Screaming Eagles,147.5,4,138,2023-11-06,-1,-9.5,9.5
2023-11-07,UTSA Roadrunners,Western Illinois Leathernecks,144.5,2,146,2023-11-06,-1,1.5,1.5
