Date,Home_Team,Away_Team,Closing_Total,Num_Books,Home_mapped,Away_mapped,Date_dt,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2024-03-01,Elon Phoenix,William & Mary Tribe,142.6,14,elon,william & mary,2024-03-01,147,2024-02-29,-1,4.400000000000006,4.400000000000006
2024-03-01,Gardner-Webb Bulldogs,Longwood Lancers,147.8,9,gardner-webb,longwood,2024-03-01,141,2024-02-29,-1,-6.800000000000011,6.800000000000011
2024-03-01,Jacksonville St Gamecocks,UTEP Miners,133.9,14,jacksonville state,utep,2024-03-01,137,2024-02-29,-1,3.0999999999999943,3.0999999999999943
2024-03-01,North Carolina A&T Aggies,Towson Tigers,129.5,14,north carolina a&t,towson,2024-03-01,142,2024-02-29,-1,12.5,12.5
2024-03-01,Western Illinois Leathernecks,Eastern Illinois Panthers,134.5,14,western illinois,eastern illinois,2024-03-01,118,2024-02-29,-1,-16.5,16.5
2024-03-01,Arkansas-Little Rock Trojans,Tennessee St Tigers,146.7,14,little rock,tennessee state,2024-03-01,114,2024-02-29,-1,-32.69999999999999,32.69999999999999
2024-03-01,Eastern Washington Eagles,Montana Grizzlies,155.9,13,eastern washington,montana,2024-03-01,168,2024-02-29,-1,12.099999999999994,12.099999999999994
2024-03-01,Idaho Vandals,Montana St Bobcats,142.2,14,idaho,montana state,2024-03-01,110,2024-02-29,-1,-32.19999999999999,32.19999999999999
2024-03-01,Liberty Flames,New Mexico St Aggies,136.0,14,liberty,new mexico state,2024-03-01,141,2024-02-29,-1,5.0,5.0
2024-03-01,Washington Huskies,UCLA Bruins,138.5,13,washington,ucla,2024-03-01,171,2024-02-29,-1,32.5,32.5
2024-03-01,Washington St Cougars,USC Trojans,138.0,13,washington state,usc,2024-03-01,147,2024-02-29,-1,9.0,9.0
2024-03-01,San Francisco Dons,Gonzaga Bulldogs,154.3,13,san francisco,gonzaga,2024-03-01,154,2024-02-29,-1,-0.30000000000001137,0.30000000000001137
2024-03-15,Purdue Boilermakers,Michigan St Spartans,143.1,14,purdue,michigan state,2024-03-15,129,2024-03-15,0,-14.099999999999994,14.099999999999994
2024-03-15,South Florida Bulls,East Carolina Pirates,136.7,14,south florida,east carolina,2024-03-15,140,2024-03-15,0,3.3000000000000114,3.3000000000000114
2024-03-15,Tennessee Volunteers,Mississippi St Bulldogs,142.1,14,tennessee,mississippi state,2024-03-15,129,2024-03-15,0,-13.099999999999994,13.099999999999994
2024-03-15,Northwestern Wildcats,Wisconsin Badgers,137.1,14,northwestern,wisconsin,2024-03-15,131,2024-03-15,0,-6.099999999999994,6.099999999999994
2024-03-15,Grambling St Tigers,Bethune-Cookman Wildcats,126.8,8,grambling,bethune-cookman,2024-03-15,118,2024-03-15,0,-8.799999999999997,8.799999999999997
2024-03-15,Western Kentucky Hilltoppers,Middle Tennessee Blue Raiders,147.1,11,western kentucky,middle tennessee,2024-03-15,139,2024-03-15,0,-8.099999999999994,8.099999999999994
2024-03-15,Auburn Tigers,South Carolina Gamecocks,142.0,14,auburn,south carolina,2024-03-15,141,2024-03-15,0,-1.0,1.0
2024-03-15,Norfolk St Spartans,Howard Bison,136.3,12,norfolk state,howard,2024-03-15,154,2024-03-15,0,17.69999999999999,17.69999999999999
2024-03-15,Quinnipiac Bobcats,Saint Peter's Peacocks,136.9,5,quinnipiac,st. peter's,2024-03-15,122,2024-03-15,0,-14.900000000000006,14.900000000000006
2024-03-15,Houston Cougars,Texas Tech Red Raiders,131.3,13,houston,texas tech,2024-03-15,141,2024-03-15,0,9.699999999999989,9.699999999999989
2024-03-15,Kentucky Wildcats,Texas A&M Aggies,159.6,13,kentucky,texas a&m,2024-03-15,184,2024-03-15,0,24.400000000000006,24.400000000000006
2024-03-15,Florida Atlantic Owls,North Texas Mean Green,137.5,9,florida atlantic,north texas,2024-03-15,148,2024-03-15,0,10.5,10.5
2024-03-15,Akron Zips,Ohio Bobcats,140.8,7,akron,ohio,2024-03-15,127,2024-03-15,0,-13.800000000000011,13.800000000000011
2024-03-16,Arizona Wildcats,Oregon Ducks,155.4,14,arizona,oregon,2024-03-16,126,2024-03-15,-1,-29.400000000000006,29.400000000000006
2024-03-16,North Carolina Central Eagles,Delaware St Hornets,137.7,9,north carolina central,delaware state,2024-03-16,129,2024-03-15,-1,-8.699999999999989,8.699999999999989
2024-03-16,Alabama Crimson Tide,Florida Gators,170.8,10,alabama,florida,2024-03-16,190,2024-03-15,-1,19.19999999999999,19.19999999999999
2024-03-16,Utah State Aggies,San Diego St Aztecs,136.9,14,utah state,san diego state,2024-03-16,156,2024-03-15,-1,19.099999999999994,19.099999999999994
2024-03-16,Virginia Cavaliers,NC State Wolfpack,121.2,10,virginia,nc state,2024-03-16,138,2024-03-15,-1,16.799999999999997,16.799999999999997
2024-03-16,Iowa State Cyclones,Baylor Bears,133.6,10,iowa state,baylor,2024-03-16,138,2024-03-15,-1,4.400000000000006,4.400000000000006
2024-03-16,Texas Southern Tigers,Alabama A&M Bulldogs,135.5,13,texas southern,alabama a&m,2024-03-16,137,2024-03-15,-1,1.5,1.5
2024-03-20,Montana St Bobcats,Grambling St Tigers,134.2,12,montana state,grambling,2024-03-20,169,2024-03-20,0,34.80000000000001,34.80000000000001
2024-03-21,Wake Forest Demon Deacons,Appalachian St Mountaineers,139.0,1,wake forest,appalachian state,2024-03-21,163,2024-03-20,-1,24.0,24.0
2024-03-21,Bradley Braves,Loyola (Chi) Ramblers,133.0,1,bradley,loyola (il),2024-03-21,136,2024-03-20,-1,3.0,3.0
2024-03-21,Cincinnati Bearcats,San Francisco Dons,137.0,1,cincinnati,san francisco,2024-03-21,145,2024-03-20,-1,8.0,8.0
2024-03-21,Villanova Wildcats,VCU Rams,118.5,1,villanova,vcu,2024-03-21,131,2024-03-20,-1,12.5,12.5
2024-03-31,Alabama Crimson Tide,Clemson Tigers,164.5,14,alabama,clemson,2024-03-31,171,2024-03-30,-1,6.5,6.5
