prediction_id,game_date,away_team,home_team,away_score,home_score,actual_total,market_total,predicted_total,recommendation,confidence,result,edge_accuracy,profit_loss,sport,bet_type,model,game_time,bet_placed,prediction_error
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,224.0,235.16666666666663,242.2,OVER,HIGH,LOSS,7.0,-1.0,NBA,totals,,12:00 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,239.0,231.5,230.2,UNDER,NONE,LOSS,-1.3,-1.0,NBA,totals,,12:00 AM,NO,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,218.0,220.5,221.1,OVER,NONE,LOSS,0.6,-1.0,NBA,totals,,12:10 AM,NO,
2025-11-18_Charlotte Hornets_Toronto Raptors,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,218.0,239.8333333333333,240.2,OVER,NONE,LOSS,0.4,-1.0,NBA,totals,,12:30 AM,NO,
2025-11-18_New York Knicks_Miami Heat,2025-11-17,New York Knicks,Miami Heat,113,115,228.0,244.5,245.1,OVER,NONE,LOSS,0.6,-1.0,NBA,totals,,12:30 AM,NO,
2025-11-18_Dallas Mavericks_Minnesota Timberwolves,2025-11-17,Dallas Mavericks,Minnesota Timberwolves,96,120,216.0,231.5,239.0,OVER,HIGH,LOSS,7.5,-1.0,NBA,totals,,01:00 AM,YES,
2025-11-18_Oklahoma City Thunder_New Orleans Pelicans,2025-11-17,Oklahoma City Thunder,New Orleans Pelicans,126,109,235.0,225.16666666666663,230.4,OVER,HIGH,WIN,5.2,0.91,NBA,totals,,01:10 AM,YES,
2025-11-18_Chicago Bulls_Denver Nuggets,2025-11-17,Chicago Bulls,Denver Nuggets,130,127,257.0,241.8333333333333,243.2,OVER,NONE,WIN,1.3,0.91,NBA,totals,,02:10 AM,NO,
2025-11-18_Dallas Cowboys_Las Vegas Raiders,2025-11-17,Dallas Cowboys,Las Vegas Raiders,33,16,49.0,49.5,47.8,UNDER,NONE,WIN,-1.7,0.91,NFL,totals,,01:15 AM,NO,
2025-11-18_Carolina Hurricanes_Boston Bruins,2025-11-17,Carolina Hurricanes,Boston Bruins,3,1,4.0,6.5,1.3,UNDER,HIGH,WIN,-5.2,0.91,NHL,totals,,12:10 AM,YES,
2025-11-18_Edmonton Oilers_Buffalo Sabres,2025-11-17,Edmonton Oilers,Buffalo Sabres,1,5,6.0,6.5,3.4,UNDER,MEDIUM,WIN,-3.1,0.91,NHL,totals,,12:10 AM,YES,
2025-11-18_Vancouver Canucks_Florida Panthers,2025-11-17,Vancouver Canucks,Florida Panthers,5,8,13.0,6.5,8.9,OVER,LOW,WIN,2.4,0.91,NHL,totals,,12:10 AM,YES,
2025-11-18_Los Angeles Kings_Washington Capitals,2025-11-17,Los Angeles Kings,Washington Capitals,1,2,3.0,5.5,1.9,UNDER,MEDIUM,WIN,-3.6,0.91,NHL,totals,,12:10 AM,YES,
2025-11-18_Montréal Canadiens_Columbus Blue Jackets,2025-11-17,Montréal Canadiens,Columbus Blue Jackets,3,4,7.0,6.5,3.5,UNDER,MEDIUM,LOSS,-3.0,-1.0,NHL,totals,,12:40 AM,YES,
2025-11-18_Utah Mammoth_Anaheim Ducks,2025-11-17,Utah Mammoth,Anaheim Ducks,2,3,5.0,6.5,11.4,OVER,MEDIUM,LOSS,4.9,-1.0,NHL,totals,,03:10 AM,YES,
2025-11-18_Canisius Golden Griffins_High Point Panthers,2025-11-17,Canisius Golden Griffins,High Point Panthers,50,93,143.0,151.5,149.9,UNDER,NONE,WIN,-1.6,0.91,NCAAB,totals,,12:00 AM,NO,
2025-11-18_Colgate Raiders_Siena Saints,2025-11-17,Colgate Raiders,Siena Saints,72,69,141.0,146.16666666666666,149.1,OVER,LOW,LOSS,2.9,-1.0,NCAAB,totals,,12:00 AM,YES,
2025-11-18_Lafayette Leopards_West Virginia Mountaineers,2025-11-17,Lafayette Leopards,West Virginia Mountaineers,59,81,140.0,135.16666666666666,134.7,UNDER,NONE,LOSS,-0.5,-1.0,NCAAB,totals,,12:00 AM,NO,
2025-11-18_Niagara Purple Eagles_Le Moyne Dolphins,2025-11-17,Niagara Purple Eagles,Le Moyne Dolphins,68,74,142.0,138.5,137.3,UNDER,NONE,LOSS,-1.2,-1.0,NCAAB,totals,,12:00 AM,NO,
2025-11-18_VCU Rams_NC State Wolfpack,2025-11-17,VCU Rams,NC State Wolfpack,79,85,164.0,163.5,164.7,OVER,NONE,WIN,1.2,0.91,NCAAB,totals,,12:00 AM,NO,
2025-11-18_Oakland Golden Grizzlies_UCF Knights,2025-11-17,Oakland Golden Grizzlies,UCF Knights,83,87,170.0,163.5,164.4,OVER,NONE,WIN,0.9,0.91,NCAAB,totals,,12:00 AM,NO,
2025-11-18_Saint Joseph's Hawks_Pennsylvania Quakers,2025-11-17,Saint Joseph's Hawks,Pennsylvania Quakers,74,83,157.0,163.16666666666666,169.5,OVER,HIGH,LOSS,6.4,-1.0,NCAAB,totals,,12:00 AM,YES,
2025-11-18_West Georgia Wolves_Tennessee Tech Golden Eagles,2025-11-17,West Georgia Wolves,Tennessee Tech Golden Eagles,61,59,120.0,152.5,150.4,UNDER,LOW,WIN,-2.1,0.91,NCAAB,totals,,12:00 AM,YES,
2025-11-18_Drake Bulldogs_Charleston Cougars,2025-11-17,Drake Bulldogs,Charleston Cougars,71,62,133.0,150.5,149.4,UNDER,NONE,WIN,-1.1,0.91,NCAAB,totals,,12:00 AM,NO,
2025-11-18_Bucknell Bison_Pittsburgh Panthers,2025-11-17,Bucknell Bison,Pittsburgh Panthers,50,84,134.0,141.5,143.3,OVER,NONE,LOSS,1.8,-1.0,NCAAB,totals,,12:00 AM,NO,
2025-11-18_Lamar Cardinals_UL Monroe Warhawks,2025-11-17,Lamar Cardinals,UL Monroe Warhawks,79,66,145.0,139.5,137.3,UNDER,LOW,LOSS,-2.2,-1.0,NCAAB,totals,,12:30 AM,YES,
2025-11-18_Tulsa Golden Hurricane_Kansas St Wildcats,2025-11-17,Tulsa Golden Hurricane,Kansas St Wildcats,83,84,167.0,161.83333333333334,162.9,OVER,NONE,WIN,1.1,0.91,NCAAB,totals,,01:00 AM,NO,
2025-11-18_Southern Illinois Salukis_North Dakota St Bison,2025-11-17,Southern Illinois Salukis,North Dakota St Bison,85,92,177.0,153.5,151.0,UNDER,LOW,LOSS,-2.5,-1.0,NCAAB,totals,,01:00 AM,YES,
2025-11-18_SIU-Edwardsville Cougars_Wisconsin Badgers,2025-11-17,SIU-Edwardsville Cougars,Wisconsin Badgers,69,94,163.0,145.5,149.0,OVER,MEDIUM,WIN,3.5,0.91,NCAAB,totals,,01:00 AM,YES,
2025-11-18_Prairie View Panthers_Missouri Tigers,2025-11-17,Prairie View Panthers,Missouri Tigers,73,91,164.0,166.5,164.5,UNDER,LOW,WIN,-2.0,0.91,NCAAB,totals,,01:00 AM,YES,
2025-11-18_Stonehill Skyhawks_Iowa State Cyclones,2025-11-17,Stonehill Skyhawks,Iowa State Cyclones,57,96,153.0,147.5,152.7,OVER,HIGH,WIN,5.2,0.91,NCAAB,totals,,01:00 AM,YES,
2025-11-18_Rice Owls_Tennessee Volunteers,2025-11-17,Rice Owls,Tennessee Volunteers,66,91,157.0,144.16666666666666,146.4,OVER,LOW,WIN,2.2,0.91,NCAAB,totals,,01:30 AM,YES,
2025-11-18_Alabama St Hornets_Colorado Buffaloes,2025-11-17,Alabama St Hornets,Colorado Buffaloes,66,94,160.0,156.5,155.5,UNDER,NONE,LOSS,-1.0,-1.0,NCAAB,totals,,02:00 AM,NO,
2025-11-18_Georgia St Panthers_Arizona St Sun Devils,2025-11-17,Georgia St Panthers,Arizona St Sun Devils,62,75,137.0,145.5,147.0,OVER,NONE,LOSS,1.5,-1.0,NCAAB,totals,,02:00 AM,NO,
2025-11-18_North Alabama Lions_Clemson Tigers,2025-11-17,North Alabama Lions,Clemson Tigers,61,81,142.0,144.5,148.0,OVER,MEDIUM,LOSS,3.5,-1.0,NCAAB,totals,,02:00 AM,YES,
2025-11-18_Loyola Marymount Lions_UC Santa Barbara Gauchos,2025-11-17,Loyola Marymount Lions,UC Santa Barbara Gauchos,78,74,152.0,143.5,134.2,UNDER,HIGH,LOSS,-9.3,-1.0,NCAAB,totals,,02:00 AM,YES,
2025-11-18_Southern Utah Thunderbirds_Gonzaga Bulldogs,2025-11-17,Southern Utah Thunderbirds,Gonzaga Bulldogs,50,122,172.0,160.16666666666666,165.8,OVER,HIGH,WIN,5.6,0.91,NCAAB,totals,,02:00 AM,YES,
2025-11-18_CSU Bakersfield Roadrunners_Portland St Vikings,2025-11-17,CSU Bakersfield Roadrunners,Portland St Vikings,80,93,173.0,143.5,142.2,UNDER,NONE,LOSS,-1.3,-1.0,NCAAB,totals,,03:00 AM,NO,
2025-11-18_Oregon St Beavers_Oregon Ducks,2025-11-17,Oregon St Beavers,Oregon Ducks,75,87,162.0,140.5,138.4,UNDER,LOW,LOSS,-2.1,-1.0,NCAAB,totals,,03:00 AM,YES,
2025-11-18_Michigan St Spartans_Kentucky Wildcats,2025-11-18,Michigan St Spartans,Kentucky Wildcats,83,66,149.0,153.5,149.2,UNDER,MEDIUM,WIN,-4.3,0.91,NCAAB,totals,,11:30 PM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_totals_ensemble,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,218.0,225.17,228.61,OVER,MEDIUM,LOSS,3.45,-1.0,NBA,totals,ensemble,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_totals_random_forest,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,218.0,225.17,227.83,OVER,LOW,LOSS,2.66,-1.0,NBA,totals,random_forest,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_totals_xgboost,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,218.0,225.17,229.4,OVER,MEDIUM,LOSS,4.24,-1.0,NBA,totals,xgboost,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_totals_lightgbm,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,218.0,225.17,224.13,UNDER,NONE,WIN,-1.04,0.91,NBA,totals,lightgbm,12:10 AM,NO,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_totals_linear_regression,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,218.0,225.17,230.26,OVER,HIGH,LOSS,5.09,-1.0,NBA,totals,linear_regression,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_spreads_ensemble,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,-0.5,-1.36,HOME,NONE,WIN,-0.86,0.91,NBA,spreads,ensemble,12:10 AM,NO,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_spreads_random_forest,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,-0.5,-5.23,HOME,HIGH,WIN,-4.73,0.91,NBA,spreads,random_forest,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_spreads_xgboost,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,-0.5,-0.17,AWAY,NONE,LOSS,0.33,-1.0,NBA,spreads,xgboost,12:10 AM,NO,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_spreads_lightgbm,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,-0.5,-2.54,HOME,MEDIUM,WIN,-2.04,0.91,NBA,spreads,lightgbm,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_spreads_linear_regression,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,-0.5,3.21,AWAY,HIGH,LOSS,3.71,-1.0,NBA,spreads,linear_regression,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_moneyline_ensemble,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,0.3197,0.2753,AWAY,LOW,LOSS,-0.0445,-1.0,NBA,moneyline,ensemble,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_moneyline_random_forest,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,0.3197,0.2429,AWAY,MEDIUM,LOSS,-0.0768,-1.0,NBA,moneyline,random_forest,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_moneyline_xgboost,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,0.3197,0.3076,PASS,NONE,UNKNOWN,-0.0121,0.0,NBA,moneyline,xgboost,12:10 AM,NO,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_moneyline_lightgbm,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,0.3197,0.1656,AWAY,HIGH,LOSS,-0.1542,-1.0,NBA,moneyline,lightgbm,12:10 AM,YES,
2025-11-18_Los Angeles Clippers_Philadelphia 76ers_moneyline_logistic_regression,2025-11-17,Los Angeles Clippers,Philadelphia 76ers,108,110,,0.3197,0.3699,HOME,MEDIUM,WIN,0.0502,0.91,NBA,moneyline,logistic_regression,12:10 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_totals_ensemble,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,239.0,233.17,234.8,OVER,NONE,WIN,1.63,0.91,NBA,totals,ensemble,12:11 AM,NO,
2025-11-18_Indiana Pacers_Detroit Pistons_totals_random_forest,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,239.0,233.17,231.14,UNDER,LOW,LOSS,-2.03,-1.0,NBA,totals,random_forest,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_totals_xgboost,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,239.0,233.17,238.45,OVER,HIGH,WIN,5.28,0.91,NBA,totals,xgboost,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_totals_lightgbm,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,239.0,233.17,230.95,UNDER,LOW,LOSS,-2.22,-1.0,NBA,totals,lightgbm,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_totals_linear_regression,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,239.0,233.17,239.3,OVER,HIGH,WIN,6.13,0.91,NBA,totals,linear_regression,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_spreads_ensemble,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,-7.83,-5.6,AWAY,MEDIUM,LOSS,2.24,-1.0,NBA,spreads,ensemble,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_spreads_random_forest,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,-7.83,-4.78,AWAY,HIGH,LOSS,3.05,-1.0,NBA,spreads,random_forest,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_spreads_xgboost,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,-7.83,-3.63,AWAY,HIGH,LOSS,4.2,-1.0,NBA,spreads,xgboost,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_spreads_lightgbm,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,-7.83,-6.41,AWAY,LOW,LOSS,1.42,-1.0,NBA,spreads,lightgbm,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_spreads_linear_regression,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,-7.83,-11.36,HOME,HIGH,WIN,-3.52,0.91,NBA,spreads,linear_regression,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_moneyline_ensemble,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,0.7727,0.7713,PASS,NONE,UNKNOWN,-0.0014,0.0,NBA,moneyline,ensemble,12:11 AM,NO,
2025-11-18_Indiana Pacers_Detroit Pistons_moneyline_random_forest,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,0.7727,0.8121,HOME,LOW,WIN,0.0393,0.91,NBA,moneyline,random_forest,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_moneyline_xgboost,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,0.7727,0.7306,AWAY,LOW,LOSS,-0.0421,-1.0,NBA,moneyline,xgboost,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_moneyline_lightgbm,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,0.7727,0.8404,HOME,MEDIUM,WIN,0.0677,0.91,NBA,moneyline,lightgbm,12:11 AM,YES,
2025-11-18_Indiana Pacers_Detroit Pistons_moneyline_logistic_regression,2025-11-17,Indiana Pacers,Detroit Pistons,112,127,,0.7727,0.7256,AWAY,LOW,LOSS,-0.0472,-1.0,NBA,moneyline,logistic_regression,12:11 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_totals_ensemble,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,224.0,242.5,243.24,OVER,NONE,LOSS,0.74,-1.0,NBA,totals,ensemble,12:12 AM,NO,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_totals_random_forest,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,224.0,242.5,247.26,OVER,MEDIUM,LOSS,4.76,-1.0,NBA,totals,random_forest,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_totals_xgboost,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,224.0,242.5,238.94,UNDER,MEDIUM,WIN,-3.56,0.91,NBA,totals,xgboost,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_totals_lightgbm,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,224.0,242.5,239.66,UNDER,LOW,WIN,-2.84,0.91,NBA,totals,lightgbm,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_totals_linear_regression,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,224.0,242.5,246.82,OVER,MEDIUM,LOSS,4.32,-1.0,NBA,totals,linear_regression,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_spreads_ensemble,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,-2.83,-1.77,AWAY,LOW,LOSS,1.06,-1.0,NBA,spreads,ensemble,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_spreads_random_forest,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,-2.83,-3.4,HOME,NONE,WIN,-0.57,0.91,NBA,spreads,random_forest,12:12 AM,NO,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_spreads_xgboost,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,-2.83,-0.14,AWAY,MEDIUM,LOSS,2.7,-1.0,NBA,spreads,xgboost,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_spreads_lightgbm,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,-2.83,1.15,AWAY,HIGH,LOSS,3.99,-1.0,NBA,spreads,lightgbm,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_spreads_linear_regression,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,-2.83,-3.61,HOME,NONE,WIN,-0.78,0.91,NBA,spreads,linear_regression,12:12 AM,NO,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_moneyline_ensemble,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,0.5973,0.5197,AWAY,MEDIUM,LOSS,-0.0776,-1.0,NBA,moneyline,ensemble,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_moneyline_random_forest,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,0.5973,0.7582,HOME,HIGH,WIN,0.1608,0.91,NBA,moneyline,random_forest,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_moneyline_xgboost,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,0.5973,0.4161,AWAY,HIGH,LOSS,-0.1812,-1.0,NBA,moneyline,xgboost,12:12 AM,YES,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_moneyline_lightgbm,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,0.5973,0.6232,HOME,NONE,WIN,0.0259,0.91,NBA,moneyline,lightgbm,12:12 AM,NO,
2025-11-18_Milwaukee Bucks_Cleveland Cavaliers_moneyline_logistic_regression,2025-11-17,Milwaukee Bucks,Cleveland Cavaliers,106,118,,0.5973,0.334,AWAY,HIGH,LOSS,-0.2633,-1.0,NBA,moneyline,logistic_regression,12:12 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_totals_ensemble,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,218.0,239.83,243.87,OVER,MEDIUM,LOSS,4.04,-1.0,NBA,totals,ensemble,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_totals_random_forest,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,218.0,239.83,244.09,OVER,MEDIUM,LOSS,4.26,-1.0,NBA,totals,random_forest,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_totals_xgboost,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,218.0,239.83,230.26,UNDER,HIGH,WIN,-9.57,0.91,NBA,totals,xgboost,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_totals_lightgbm,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,218.0,239.83,243.65,OVER,MEDIUM,LOSS,3.82,-1.0,NBA,totals,lightgbm,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_totals_linear_regression,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,218.0,239.83,247.62,OVER,HIGH,LOSS,7.79,-1.0,NBA,totals,linear_regression,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_spreads_ensemble,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,-8.5,-8.25,AWAY,NONE,LOSS,0.25,-1.0,NBA,spreads,ensemble,12:30 AM,NO,
2025-11-18_Charlotte Hornets_Toronto Raptors_spreads_random_forest,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,-8.5,-7.91,AWAY,NONE,LOSS,0.59,-1.0,NBA,spreads,random_forest,12:30 AM,NO,
2025-11-18_Charlotte Hornets_Toronto Raptors_spreads_xgboost,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,-8.5,-8.6,HOME,NONE,LOSS,-0.1,-1.0,NBA,spreads,xgboost,12:30 AM,NO,
2025-11-18_Charlotte Hornets_Toronto Raptors_spreads_lightgbm,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,-8.5,-9.68,HOME,LOW,LOSS,-1.18,-1.0,NBA,spreads,lightgbm,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_spreads_linear_regression,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,-8.5,-7.45,AWAY,LOW,LOSS,1.05,-1.0,NBA,spreads,linear_regression,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_moneyline_ensemble,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,0.7818,0.8194,HOME,LOW,WIN,0.0376,0.91,NBA,moneyline,ensemble,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_moneyline_random_forest,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,0.7818,0.8147,HOME,LOW,WIN,0.0329,0.91,NBA,moneyline,random_forest,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_moneyline_xgboost,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,0.7818,0.944,HOME,HIGH,WIN,0.1622,0.91,NBA,moneyline,xgboost,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_moneyline_lightgbm,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,0.7818,0.8241,HOME,LOW,WIN,0.0423,0.91,NBA,moneyline,lightgbm,12:30 AM,YES,
2025-11-18_Charlotte Hornets_Toronto Raptors_moneyline_logistic_regression,2025-11-17,Charlotte Hornets,Toronto Raptors,108,110,,0.7818,0.6894,AWAY,MEDIUM,LOSS,-0.0925,-1.0,NBA,moneyline,logistic_regression,12:30 AM,YES,
2025-11-18_New York Knicks_Miami Heat_totals_ensemble,2025-11-17,New York Knicks,Miami Heat,113,115,228.0,244.5,242.91,UNDER,NONE,WIN,-1.59,0.91,NBA,totals,ensemble,12:40 AM,NO,
2025-11-18_New York Knicks_Miami Heat_totals_random_forest,2025-11-17,New York Knicks,Miami Heat,113,115,228.0,244.5,238.63,UNDER,HIGH,WIN,-5.87,0.91,NBA,totals,random_forest,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_totals_xgboost,2025-11-17,New York Knicks,Miami Heat,113,115,228.0,244.5,247.41,OVER,LOW,LOSS,2.91,-1.0,NBA,totals,xgboost,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_totals_lightgbm,2025-11-17,New York Knicks,Miami Heat,113,115,228.0,244.5,242.9,UNDER,NONE,WIN,-1.6,0.91,NBA,totals,lightgbm,12:40 AM,NO,
2025-11-18_New York Knicks_Miami Heat_totals_linear_regression,2025-11-17,New York Knicks,Miami Heat,113,115,228.0,244.5,242.92,UNDER,NONE,WIN,-1.58,0.91,NBA,totals,linear_regression,12:40 AM,NO,
2025-11-18_New York Knicks_Miami Heat_spreads_ensemble,2025-11-17,New York Knicks,Miami Heat,113,115,,-1.5,0.38,AWAY,LOW,LOSS,1.88,-1.0,NBA,spreads,ensemble,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_spreads_random_forest,2025-11-17,New York Knicks,Miami Heat,113,115,,-1.5,-2.89,HOME,LOW,WIN,-1.39,0.91,NBA,spreads,random_forest,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_spreads_xgboost,2025-11-17,New York Knicks,Miami Heat,113,115,,-1.5,-3.0,HOME,LOW,WIN,-1.5,0.91,NBA,spreads,xgboost,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_spreads_lightgbm,2025-11-17,New York Knicks,Miami Heat,113,115,,-1.5,4.96,AWAY,HIGH,LOSS,6.46,-1.0,NBA,spreads,lightgbm,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_spreads_linear_regression,2025-11-17,New York Knicks,Miami Heat,113,115,,-1.5,3.66,AWAY,HIGH,LOSS,5.16,-1.0,NBA,spreads,linear_regression,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_moneyline_ensemble,2025-11-17,New York Knicks,Miami Heat,113,115,,0.5434,0.5925,HOME,LOW,WIN,0.0492,0.91,NBA,moneyline,ensemble,12:40 AM,YES,
2025-11-18_New York Knicks_Miami Heat_moneyline_random_forest,2025-11-17,New York Knicks,Miami Heat,113,115,,0.5434,0.5373,PASS,NONE,UNKNOWN,-0.0061,0.0,NBA,moneyline,random_forest,12:40 AM,NO,
2025-11-18_New York Knicks_Miami Heat_moneyline_xgboost,2025-11-17,New York Knicks,Miami Heat,113,115,,0.5434,0.571,HOME,NONE,WIN,0.0276,0.91,NBA,moneyline,xgboost,12:40 AM,NO,
2025-11-18_New York Knicks_Miami Heat_moneyline_lightgbm,2025-11-17,New York Knicks,Miami Heat,113,115,,0.5434,0.6141,HOME,MEDIUM,WIN,0.0707,0.91,NBA,moneyline,lightgbm,12:40 AM,YES,
