team_id,team_name,games_played,wins,losses,pace,off_rating,def_rating,net_rating,pts_per_game,opp_pts_per_game,efg_pct,ts_pct
1610612737,Atlanta Hawks,87,40,47,103.47,113.0,114.2,-1.2,116.3,114.2,0.543,0.577
1610612738,Boston Celtics,87,63,24,96.74,119.2,110.4,8.9,115.1,110.4,0.559,0.589
1610612751,Brooklyn Nets,87,29,58,97.12,107.9,114.8,-6.9,104.3,114.8,0.516,0.552
1610612766,Charlotte Hornets,90,26,64,98.44,106.7,113.8,-7.1,103.7,113.8,0.503,0.537
1610612741,Chicago Bulls,87,41,46,103.64,112.6,114.5,-1.9,116.1,114.5,0.55,0.582
1610612739,Cleveland Cavaliers,87,66,21,100.7,120.0,111.4,8.7,120.3,111.4,0.575,0.605
1610612742,Dallas Mavericks,87,40,47,100.35,113.0,114.6,-1.7,112.6,114.6,0.547,0.581
1610612743,Denver Nuggets,87,52,35,100.53,117.9,114.4,3.6,118.4,114.4,0.567,0.599
1610612765,Detroit Pistons,87,46,41,100.44,113.8,111.8,2.0,113.8,111.8,0.543,0.576
1610612744,Golden State Warriors,90,55,35,99.78,113.7,109.5,4.2,112.1,109.5,0.536,0.569
1610612745,Houston Rockets,87,54,33,99.42,114.2,109.8,4.4,113.0,109.8,0.52,0.551
1610612754,Indiana Pacers,87,51,36,101.14,114.5,112.9,1.6,115.8,112.9,0.558,0.591
1610612746,LA Clippers,87,54,33,98.3,114.5,109.2,5.3,112.0,109.2,0.553,0.589
1610612747,Los Angeles Lakers,90,53,37,98.6,113.9,113.2,0.6,110.9,113.2,0.547,0.583
1610612763,Memphis Grizzlies,91,54,37,103.57,116.8,112.0,4.9,119.3,112.0,0.55,0.584
1610612748,Miami Heat,91,45,46,97.63,112.6,111.4,1.2,109.5,111.4,0.545,0.578
1610612749,Milwaukee Bucks,87,48,39,100.34,114.1,112.9,1.2,113.9,112.9,0.564,0.594
1610612750,Minnesota Timberwolves,87,53,34,98.44,115.3,110.1,5.2,113.3,110.1,0.55,0.585
1610612740,New Orleans Pelicans,87,21,66,99.76,109.1,118.4,-9.3,108.2,118.4,0.518,0.551
1610612752,New York Knicks,87,54,33,98.03,116.6,112.9,3.8,114.4,112.9,0.555,0.588
1610612760,Oklahoma City Thunder,90,71,19,101.07,117.7,106.4,11.3,117.4,106.4,0.554,0.587
1610612753,Orlando Magic,87,43,44,96.93,109.1,109.2,-0.1,105.1,109.2,0.514,0.553
1610612755,Philadelphia 76ers,90,29,61,98.6,110.8,116.2,-5.4,108.2,116.2,0.525,0.563
1610612756,Phoenix Suns,87,38,49,98.59,114.3,117.1,-2.8,112.4,117.1,0.559,0.593
1610612757,Portland Trail Blazers,87,39,48,99.92,110.2,112.9,-2.7,109.4,112.9,0.517,0.551
1610612758,Sacramento Kings,87,42,45,99.13,115.0,114.5,0.6,114.0,114.5,0.547,0.581
1610612759,San Antonio Spurs,90,39,51,100.04,112.3,115.2,-2.9,111.0,115.2,0.534,0.566
1610612761,Toronto Raptors,87,32,55,100.6,109.1,113.3,-4.3,109.3,113.3,0.52,0.55
1610612762,Utah Jazz,90,22,68,101.17,109.3,118.0,-8.7,109.7,118.0,0.53,0.565
1610612764,Washington Wizards,87,21,66,101.96,105.4,117.0,-11.6,106.7,117.0,0.51,0.544
