Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
196,Samford,SC,0-1,-3.76,105.9,109.6,71.0
197,Quinnipiac,MAAC,1-1,-3.78,101.1,104.8,75.2
198,CSUN,BW,1-1,-3.8,101.1,104.9,75.2
199,Campbell,CAA,0-2,-3.91,102.8,106.7,71.8
200,Monmouth,CAA,1-0,-4.18,102.6,106.8,72.3
201,Old Dominion,SB,1-1,-4.3,103.9,108.2,71.6
202,Vermont,AE,2-0,-4.49,102.9,107.4,68.5
203,Princeton,Ivy,0-0,-4.56,102.3,106.9,71.3
204,Oakland,Horz,0-1,-4.58,105.3,109.9,71.1
205,Milwaukee,Horz,1-0,-4.6,103.8,108.4,74.4
206,Robert Morris,Horz,1-1,-4.61,103.1,107.7,71.6
207,Idaho,BSky,1-0,-4.78,105.9,110.7,70.7
208,Western Carolina,SC,0-1,-4.85,100.3,105.2,74.8
209,Massachusetts,MAC,0-1,-4.88,100.1,104.9,75.5
210,Mercer,SC,1-1,-4.95,100.5,105.4,74.6
211,Longwood,BSth,1-0,-5.01,102.5,107.5,72.7
212,Incarnate Word,Slnd,0-1,-5.04,104.9,110.0,70.4
213,Queens,ASun,1-1,-5.12,104.9,110.0,72.8
214,Purdue Fort Wayne,Horz,0-1,-5.13,102.2,107.3,73.8
215,Nicholls,Slnd,0-1,-5.13,99.8,104.9,71.6
216,Indiana St.,MVC,1-1,-5.21,104.5,109.7,74.6
217,Lamar,Slnd,1-0,-5.22,99.9,105.1,71.1
218,Fresno St.,MWC,1-1,-5.23,101.6,106.8,73.9
219,Hampton,CAA,1-1,-5.31,101.5,106.8,72.2
220,UT Rio Grande Valley,Slnd,0-1,-5.41,103.1,108.5,75.1
221,Dartmouth,Ivy,0-0,-5.42,101.5,106.9,73.6
222,Bethune Cookman,SWAC,0-2,-5.49,102.0,107.4,72.6
223,Long Beach St.,BW,0-1,-5.5,100.7,106.2,70.2
224,Montana St.,BSky,1-1,-5.55,104.0,109.5,71.0
225,Ball St.,MAC,1-0,-5.6,104.0,109.6,70.3
226,North Alabama,ASun,0-1,-5.61,102.0,107.6,72.0
227,Northeastern,CAA,0-1,-5.65,102.4,108.0,71.2
228,UC Davis,BW,2-0,-5.65,99.3,105.0,71.9
229,Lipscomb,ASun,0-1,-5.65,101.7,107.4,71.9
230,Eastern Michigan,MAC,1-0,-5.68,101.2,106.9,71.2
231,North Dakota St.,Sum,0-2,-5.72,103.5,109.2,69.8
232,SIUE,OVC,1-0,-5.79,99.4,105.2,71.5
233,William & Mary,CAA,1-0,-5.88,104.3,110.2,74.9
234,Norfolk St.,MEAC,2-0,-5.9,101.9,107.8,71.2
235,Stephen F. Austin,Slnd,1-0,-5.91,98.5,104.5,72.2
236,Cleveland St.,Horz,1-1,-5.94,105.0,111.0,71.7
237,New Orleans,Slnd,1-0,-6.07,101.3,107.3,73.6
238,Iona,MAAC,0-0,-6.14,102.8,109.0,72.4
239,Drexel,CAA,1-0,-6.25,99.9,106.2,68.9
240,Delaware,CUSA,0-1,-6.27,102.8,109.1,73.2
241,Jacksonville,ASun,1-1,-6.29,99.0,105.3,71.6
242,Tennessee St.,OVC,1-0,-6.37,100.3,106.6,73.2
243,Pepperdine,WCC,1-0,-6.44,101.2,107.6,72.6
244,Louisiana,SB,0-1,-6.5,102.4,108.9,70.5
245,Texas A&M Corpus Chris,Slnd,1-1,-6.57,98.6,105.2,71.6
246,UNC Asheville,BSth,0-1,-6.59,102.1,108.7,71.5
247,Columbia,Ivy,0-0,-6.63,102.6,109.2,73.3
248,Utah Tech,WAC,2-0,-6.66,99.1,105.7,72.4
249,Mount St. Mary's,MAAC,0-1,-6.72,98.3,105.0,72.2
250,UNC Greensboro,SC,0-1,-6.85,100.5,107.4,71.0
251,Boston University,PL,1-0,-6.85,100.1,106.9,68.8
252,Appalachian St.,SB,1-1,-6.86,99.8,106.6,68.6
253,Wofford,SC,0-1,-6.88,101.3,108.2,70.4
254,Texas St.,SB,1-1,-6.99,99.1,106.0,70.3
255,Sacred Heart,MAAC,1-0,-7.02,102.9,109.9,73.8
256,Manhattan,MAAC,1-0,-7.03,103.2,110.2,72.2
257,Georgia Southern,SB,0-1,-7.16,103.9,111.1,74.9
258,Fordham,A10,0-1,-7.2,102.0,109.2,70.8
259,Evansville,MVC,0-1,-7.48,98.5,106.0,70.9
260,VMI,SC,1-0,-7.57,100.5,108.0,73.4
261,UC Riverside,BW,2-0,-7.75,100.1,107.8,71.8
262,Cal St. Bakersfield,BW,1-1,-7.86,98.7,106.5,72.0
263,Southeast Missouri,OVC,0-1,-7.93,98.6,106.6,73.7
264,Cal Poly,BW,1-1,-8.02,100.9,108.9,77.6
265,Albany,AE,0-1,-8.11,99.9,108.0,73.1
266,Sacramento St.,BSky,1-0,-8.15,100.1,108.3,71.6
267,Southern Utah,WAC,0-1,-8.15,99.3,107.4,73.1
268,Central Michigan,MAC,1-0,-8.17,101.2,109.4,71.3
269,Elon,CAA,1-0,-8.25,100.5,108.7,70.8
270,Northern Arizona,BSky,0-1,-8.27,101.6,109.9,71.3
271,Southeastern Louisiana,Slnd,0-1,-8.31,99.7,108.0,71.1
272,Coastal Carolina,SB,0-1,-8.4,101.6,110.0,70.9
273,Air Force,MWC,0-1,-8.43,99.8,108.2,68.2
274,Jackson St.,SWAC,0-2,-8.52,100.7,109.3,73.2
275,Penn,Ivy,0-0,-8.52,103.7,112.3,73.7
276,Portland,WCC,2-0,-8.66,101.2,109.9,74.3
277,Bucknell,PL,1-0,-8.79,99.0,107.8,71.2
278,Northern Kentucky,Horz,1-0,-8.85,99.7,108.5,70.8
279,Houston Christian,Slnd,1-0,-8.89,99.3,108.2,70.3
280,Austin Peay,ASun,1-0,-8.96,99.6,108.6,71.0
281,Idaho St.,BSky,1-0,-8.98,99.0,108.0,70.5
282,Southern Miss,SB,1-1,-8.99,101.7,110.7,72.1
283,Alabama St.,SWAC,0-0,-9.05,99.2,108.2,72.5
284,Stony Brook,CAA,1-0,-9.06,101.2,110.2,70.3
285,Western Michigan,MAC,1-1,-9.21,99.5,108.7,73.3
286,LIU,NEC,1-1,-9.39,97.7,107.1,74.0
287,Valparaiso,MVC,1-0,-9.44,100.0,109.4,72.3
288,Maine,AE,0-1,-9.58,94.3,103.8,70.2
289,Lehigh,PL,1-1,-9.7,97.9,107.6,72.6
290,Southern Indiana,OVC,0-1,-9.71,99.6,109.3,72.7
291,Tarleton St.,WAC,0-2,-9.75,98.5,108.2,70.5
292,Morehead St.,OVC,1-0,-9.81,98.4,108.3,69.8
293,UMass Lowell,AE,1-0,-9.89,102.0,111.9,73.2
294,Merrimack,MAAC,0-2,-9.93,96.5,106.4,69.7
295,UMBC,AE,1-0,-10.14,102.1,112.3,74.4
296,Tennessee Martin,OVC,1-0,-10.25,98.0,108.3,73.0
297,South Dakota,Sum,0-2,-10.3,101.9,112.2,75.0
298,Northern Illinois,MAC,1-0,-10.33,101.6,111.9,73.4
299,Fairfield,MAAC,0-1,-10.34,100.1,110.4,71.2
300,Northwestern St.,Slnd,0-2,-10.34,100.4,110.8,69.2
