Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
291,Tennessee St.,OVC,18-14,-10.06,100.9,111.0,70.8
292,Valparaiso,MVC,11-21,-10.36,98.0,108.3,67.8
293,Chicago St.,ind,11-20,-10.47,102.9,113.3,64.2
294,Cal Poly,BW,8-25,-10.48,93.9,104.3,64.0
295,Cal St. Bakersfield,BW,11-22,-10.54,94.8,105.3,63.1
296,Coastal Carolina,SB,11-20,-10.54,104.0,114.6,68.3
297,South Dakota,Sum,12-19,-10.59,102.9,113.5,65.9
298,Denver,Sum,15-17,-10.87,100.3,111.2,68.4
299,High Point,BSth,14-17,-10.9,100.1,111.0,71.4
300,Idaho,BSky,10-22,-10.93,102.5,113.4,65.8
301,Illinois Chicago,MVC,12-20,-10.98,97.7,108.6,68.9
302,Charleston Southern,BSth,10-21,-11.06,105.3,116.3,65.7
303,Bucknell,Pat,12-20,-11.12,98.9,110.0,66.7
304,Jackson St.,SWAC,14-19,-11.14,98.9,110.1,67.9
305,Texas Southern 16,SWAC,14-21,-11.16,95.4,106.6,69.1
306,Manhattan,MAAC,12-18,-11.2,97.5,108.7,66.9
307,Texas A&M Commerce,Slnd,13-20,-11.3,101.1,112.4,65.3
308,Saint Peter's,MAAC,14-18,-11.32,96.9,108.2,62.9
309,Merrimack,NEC,18-16,-11.41,89.9,101.3,66.3
310,Northeastern,CAA,10-20,-11.57,97.8,109.3,66.7
311,Binghamton,AE,13-18,-11.61,98.6,110.2,65.9
312,Alabama A&M,SWAC,15-18,-11.62,96.4,108.0,68.1
313,Wagner,NEC,15-13,-11.85,94.0,105.9,61.9
314,UMKC,Sum,11-21,-12.15,95.9,108.1,63.7
315,Morgan St.,MEAC,15-16,-12.2,94.4,106.6,70.6
316,Tulsa,Amer,5-25,-12.45,98.8,111.2,67.8
317,Eastern Michigan,MAC,8-23,-12.8,101.4,114.2,69.1
318,Nebraska Omaha,Sum,9-23,-12.96,100.0,113.0,67.7
319,North Carolina A&T,CAA,13-19,-13.02,98.1,111.1,69.8
320,William & Mary,CAA,13-20,-13.03,99.7,112.7,65.1
321,Little Rock,OVC,10-21,-13.42,101.9,115.4,70.8
322,Arkansas Pine Bluff,SWAC,10-21,-13.71,94.2,107.9,69.5
323,Western Michigan,MAC,8-23,-13.8,102.5,116.3,65.6
324,Austin Peay,ASun,9-22,-13.81,97.0,110.8,64.6
325,Loyola MD,Pat,13-20,-13.86,98.7,112.6,66.0
326,Sacred Heart,NEC,16-17,-13.87,96.7,110.6,69.6
327,The Citadel,SC,10-22,-13.99,97.9,111.9,67.0
328,Stony Brook,CAA,11-22,-14.22,96.0,110.2,64.0
329,Cal St. Northridge,BW,7-25,-14.48,95.3,109.7,65.2
330,NJIT,AE,7-23,-14.49,97.2,111.7,66.2
331,Stonehill,NEC,14-17,-14.49,95.0,109.5,66.1
332,New Orleans,Slnd,12-20,-15.06,97.7,112.8,71.2
333,Central Arkansas,ASun,9-22,-15.18,98.4,113.6,72.1
334,Central Michigan,MAC,10-21,-15.5,92.7,108.2,67.1
335,McNeese St.,Slnd,11-23,-15.63,98.6,114.3,66.1
336,St. Francis PA,NEC,13-18,-15.72,100.2,115.9,68.2
337,Elon,CAA,8-24,-15.81,96.7,112.5,65.8
338,Coppin St.,MEAC,9-23,-15.94,99.0,114.9,71.4
339,Central Connecticut,NEC,10-22,-15.94,97.4,113.4,64.2
340,Incarnate Word,Slnd,12-19,-16.02,96.3,112.3,66.8
341,Columbia,Ivy,7-22,-16.13,94.7,110.9,69.4
342,Holy Cross,Pat,10-22,-16.53,94.1,110.6,69.0
343,Lindenwood,OVC,11-21,-16.74,95.5,112.2,66.7
344,Presbyterian,BSth,5-27,-16.96,93.8,110.7,64.5
345,South Carolina St.,MEAC,5-26,-17.04,98.4,115.4,71.5
346,Albany,AE,8-23,-17.04,98.7,115.8,67.2
347,Eastern Illinois,OVC,9-22,-17.15,93.8,111.0,67.8
348,Monmouth,CAA,7-26,-17.45,92.6,110.0,68.3
349,Bethune Cookman,SWAC,12-20,-17.64,96.7,114.3,68.8
350,Alabama St.,SWAC,8-23,-17.86,92.9,110.8,65.9
351,Hampton,CAA,8-24,-18.14,97.3,115.5,68.8
352,Evansville,MVC,5-27,-18.7,91.2,109.9,69.5
353,Houston Christian,Slnd,10-22,-18.97,101.7,120.7,70.5
354,VMI,SC,7-25,-19.57,98.3,117.9,66.6
355,St. Francis NY,NEC,14-16,-19.83,90.7,110.5,66.0
356,Delaware St.,MEAC,6-24,-20.11,92.1,112.2,67.7
357,Mississippi Valley St.,SWAC,5-27,-20.19,92.3,112.5,67.0
358,Lamar,Slnd,9-22,-20.51,94.6,115.1,65.7
359,Florida A&M,SWAC,7-22,-20.75,89.4,110.1,64.9
360,IUPUI,Horz,5-27,-22.05,95.6,117.7,66.9
361,Green Bay,Horz,3-29,-26.41,90.4,116.8,65.0
362,Hartford,ind,5-23,-29.03,89.6,118.6,65.4
363,LIU,NEC,3-26,-29.52,86.9,116.4,72.4
