Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
260,Nebraska Omaha,Sum,15-18,-7.17,103.9,111.1,67.4
261,Southern,SWAC,18-14,-7.33,97.2,104.6,67.5
262,Central Connecticut,NEC,20-11,-7.41,101.0,108.4,67.0
263,Lehigh,Pat,14-18,-7.43,99.5,106.9,70.1
264,Air Force,MWC,9-22,-7.43,105.9,113.4,61.9
265,Kennesaw St.,ASun,15-16,-7.57,105.3,112.9,74.1
266,Ball St.,MAC,15-16,-7.85,103.0,110.8,67.0
267,Texas Southern,SWAC,16-17,-7.85,98.9,106.7,68.1
268,Denver,Sum,17-17,-7.96,107.8,115.8,70.5
269,Queens,ASun,14-19,-7.98,104.0,112.0,72.8
270,Western Illinois,OVC,21-12,-8.03,97.9,105.9,64.8
271,Presbyterian,BSth,14-19,-8.04,103.1,111.2,67.5
272,Niagara,MAAC,16-16,-8.15,103.3,111.4,67.4
273,Jacksonville,ASun,16-17,-8.28,101.1,109.3,65.6
274,UMBC,AE,11-21,-8.34,105.0,113.4,73.2
275,Howard 16,MEAC,18-17,-8.38,105.6,113.9,67.8
276,Bucknell,Pat,14-19,-8.46,100.2,108.7,64.9
277,Central Michigan,MAC,18-14,-8.46,96.6,105.0,65.1
278,Canisius,MAAC,14-18,-8.54,100.1,108.7,66.9
279,North Dakota St.,Sum,15-17,-8.54,104.0,112.5,65.7
280,Georgia Southern,SB,9-24,-8.63,104.8,113.4,69.0
281,Utah Tech,WAC,11-20,-8.81,99.9,108.7,70.4
282,Middle Tennessee,CUSA,14-19,-8.82,98.1,106.9,65.6
283,Oral Roberts,Sum,12-19,-8.86,103.4,112.2,67.7
284,Binghamton,AE,15-15,-8.98,102.5,111.5,66.3
285,FIU,CUSA,11-22,-9.1,101.6,110.7,70.3
286,SIU Edwardsville,OVC,17-16,-9.69,101.3,111.0,67.2
287,Old Dominion,SB,7-25,-9.89,99.0,108.9,70.1
288,USC Upstate,BSth,10-20,-9.95,100.0,110.0,67.2
289,Delaware St.,MEAC,15-19,-9.98,95.8,105.8,68.9
290,New Mexico St.,CUSA,13-19,-9.98,99.4,109.3,66.3
291,Tennessee St.,OVC,18-15,-10.0,98.9,108.9,68.5
292,Wagner 16,NEC,17-16,-10.0,96.4,106.4,61.6
293,Sacred Heart,NEC,16-16,-10.09,102.1,112.2,69.3
294,Alcorn St.,SWAC,14-18,-10.15,106.5,116.6,66.5
295,Chicago St.,ind,13-19,-10.15,100.3,110.4,64.6
296,American,Pat,16-16,-10.4,103.5,113.9,62.9
297,Boston University,Pat,16-17,-10.47,98.3,108.7,65.9
298,Louisiana Monroe,SB,11-19,-10.64,100.1,110.7,67.3
299,Portland,WCC,12-21,-10.66,103.5,114.1,67.6
300,Valparaiso,MVC,7-25,-10.73,100.3,111.0,68.0
301,South Carolina St.,MEAC,14-18,-10.79,99.1,109.9,68.7
302,Le Moyne,NEC,15-17,-10.94,100.1,111.1,67.4
303,Bethune Cookman,SWAC,17-17,-10.98,97.9,108.9,69.9
304,DePaul,BE,3-29,-11.06,101.6,112.6,67.6
305,Western Michigan,MAC,12-20,-11.42,100.0,111.4,68.6
306,Southeastern Louisiana,Slnd,15-17,-11.52,98.7,110.3,64.9
307,Robert Morris,Horz,10-22,-11.55,101.8,113.4,67.1
308,Northern Illinois,MAC,11-20,-11.61,102.2,113.8,68.1
309,Jackson St.,SWAC,15-17,-11.66,100.6,112.3,68.5
310,Alabama St.,SWAC,13-19,-12.29,93.1,105.3,67.2
311,Campbell,CAA,14-18,-12.32,100.7,113.0,66.7
312,Northern Arizona,BSky,14-19,-12.41,99.1,111.5,68.3
313,Coastal Carolina,SB,9-22,-12.8,99.5,112.3,69.6
314,Sacramento St.,BSky,10-24,-13.0,98.2,111.2,64.0
315,Charleston Southern,BSth,10-20,-13.03,95.5,108.5,67.0
316,Bellarmine,ASun,8-23,-13.11,100.3,113.4,64.9
317,Elon,CAA,13-19,-13.31,101.8,115.1,67.5
318,Lafayette,Pat,11-21,-13.48,93.6,107.1,65.4
319,William & Mary,CAA,10-23,-13.56,100.7,114.3,65.9
320,Eastern Illinois,OVC,14-18,-13.78,96.1,109.9,66.8
321,Idaho,BSky,11-21,-13.99,98.3,112.3,65.0
322,South Dakota,Sum,12-20,-14.01,103.1,117.1,68.8
323,Navy,Pat,13-18,-14.3,96.8,111.1,65.6
324,Alabama A&M,SWAC,12-23,-14.36,94.2,108.6,70.6
325,Northwestern St.,Slnd,9-23,-14.89,97.7,112.5,67.5
326,Eastern Michigan,MAC,13-18,-15.12,96.9,112.1,65.4
327,Fairleigh Dickinson,NEC,15-17,-15.31,98.0,113.3,72.2
328,Southern Indiana,OVC,8-24,-15.87,96.0,111.9,69.1
329,UT Rio Grande Valley,WAC,6-25,-16.03,95.6,111.6,71.3
330,Prairie View A&M,SWAC,10-21,-16.52,94.7,111.2,70.8
331,Arkansas Pine Bluff,SWAC,13-18,-16.69,102.2,118.9,71.9
332,Tennessee Tech,OVC,10-21,-16.76,96.3,113.1,65.7
333,Texas A&M Commerce,Slnd,13-20,-16.76,94.7,111.5,66.3
334,Morgan St.,MEAC,11-20,-16.8,97.4,114.2,70.9
335,NJIT,AE,7-21,-17.03,97.5,114.5,66.3
336,Dartmouth,Ivy,6-21,-17.06,93.2,110.3,65.2
337,Manhattan,MAAC,7-23,-17.47,95.2,112.6,68.1
338,Florida A&M,SWAC,6-23,-17.66,93.3,111.0,68.4
339,Cal Poly,BW,4-28,-17.84,94.5,112.4,65.9
340,Central Arkansas,ASun,9-23,-17.97,97.2,115.2,69.3
341,Hampton,CAA,9-24,-18.04,94.5,112.6,69.8
342,New Orleans,Slnd,10-23,-18.33,97.8,116.2,71.6
343,LIU,NEC,7-22,-18.87,93.3,112.2,70.4
344,Army,Pat,10-22,-19.0,90.9,109.9,63.1
345,Incarnate Word,Slnd,8-23,-19.04,96.5,115.5,70.0
346,North Carolina A&T,CAA,7-25,-19.43,96.0,115.4,67.8
347,Maryland Eastern Shore,MEAC,9-20,-19.69,89.8,109.5,67.2
348,Buffalo,MAC,4-27,-19.7,95.4,115.1,69.2
349,Holy Cross,Pat,10-23,-19.72,100.7,120.4,65.9
350,Loyola MD,Pat,7-25,-20.27,93.3,113.6,65.8
351,Detroit Mercy,Horz,1-31,-20.52,96.9,117.5,66.9
352,Southeast Missouri St.,OVC,9-22,-21.33,91.3,112.7,69.2
353,VMI,SC,4-28,-22.07,89.2,111.2,74.7
354,Saint Francis,NEC,8-22,-22.26,94.4,116.7,65.5
355,Houston Christian,Slnd,6-23,-22.42,96.6,119.0,71.5
356,Lindenwood,OVC,9-22,-22.52,91.7,114.2,67.2
357,Siena,MAAC,4-28,-22.83,90.5,113.4,66.1
358,Pacific,WCC,6-26,-22.84,95.3,118.1,68.4
359,Stonehill,NEC,4-27,-22.93,91.9,114.8,67.7
360,IUPUI,Horz,6-26,-25.61,92.3,117.9,67.5
361,Coppin St.,MEAC,2-27,-25.73,85.7,111.4,66.2
362,Mississippi Valley St.,SWAC,1-30,-30.83,85.5,116.3,64.7
