Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
1,Connecticut 1,BE,37-3,36.43,127.5,91.1,64.6
2,Houston 1,B12,32-5,31.17,118.9,87.7,63.5
3,Purdue 1,B10,34-5,30.62,125.2,94.6,67.0
4,Auburn 4,SEC,27-8,27.99,120.4,92.4,70.0
5,Tennessee 2,SEC,27-9,26.61,116.8,90.2,69.3
6,Arizona 2,P12,27-9,26.55,120.2,93.7,72.2
7,Duke 4,ACC,27-9,26.47,121.6,95.2,66.4
8,Iowa St. 2,B12,29-8,26.47,113.9,87.5,67.2
9,North Carolina 1,ACC,29-8,26.19,119.7,93.5,70.6
10,Illinois 3,B10,29-9,24.53,125.5,101.0,69.8
11,Creighton 3,BE,25-10,24.22,120.9,96.7,66.8
12,Gonzaga 5,WCC,27-8,23.17,122.6,99.4,68.9
13,Marquette 2,BE,27-10,23.02,118.2,95.2,69.1
14,Alabama 4,SEC,25-12,22.96,126.0,103.0,72.6
15,Baylor 3,B12,24-11,21.9,122.4,100.5,65.8
16,Michigan St. 9,B10,20-15,20.58,114.3,93.7,65.3
17,Wisconsin 5,B10,22-14,20.06,119.2,99.2,65.5
18,BYU 6,B12,23-11,19.96,119.8,99.9,69.2
19,Clemson 6,ACC,24-12,19.44,117.7,98.3,66.4
20,Saint Mary's 5,WCC,26-8,19.43,114.5,95.0,62.5
21,St. John's,BE,20-13,19.41,119.0,99.6,69.3
22,San Diego St. 5,MWC,26-11,19.36,113.4,94.0,66.2
23,Kentucky 3,SEC,23-10,19.29,122.2,102.9,72.7
24,Colorado 10,P12,26-11,19.03,118.4,99.3,67.6
25,Texas 7,B12,21-13,18.77,116.5,97.7,67.4
26,Florida 7,SEC,24-12,18.19,120.0,101.8,72.0
27,Kansas 4,B12,23-11,17.94,113.5,95.6,69.2
28,Wake Forest,ACC,21-14,17.89,117.7,99.8,68.5
29,New Mexico 11,MWC,26-10,17.8,114.4,96.6,72.8
30,Nebraska 8,B10,23-11,17.55,116.2,98.7,69.0
31,Texas Tech 6,B12,23-11,17.32,117.4,100.1,66.8
32,Dayton 7,A10,25-8,17.3,117.7,100.4,64.5
33,Pittsburgh,ACC,22-11,17.18,116.5,99.3,65.6
34,Mississippi St. 8,SEC,21-14,17.07,113.0,95.9,67.1
35,Texas A&M 9,SEC,21-15,17.02,117.5,100.5,66.6
36,Colorado St. 10,MWC,25-11,17.02,114.0,97.0,66.1
37,Villanova,BE,18-16,16.78,111.4,94.6,63.6
38,Indiana St.,MVC,32-7,16.69,119.9,103.2,70.9
39,Cincinnati,B12,22-15,16.47,112.0,95.5,67.5
40,Nevada 10,MWC,26-8,16.41,115.0,98.6,66.8
41,Northwestern 9,B10,22-12,16.41,115.9,99.5,64.2
42,Washington St. 7,P12,25-10,16.33,113.2,96.9,64.8
43,TCU 9,B12,21-13,16.04,114.7,98.7,69.8
44,Boise St. 10,MWC,22-11,15.97,113.4,97.4,66.6
45,N.C. State 11,ACC,26-15,15.9,114.3,98.4,68.0
46,Oklahoma,B12,20-12,15.77,114.1,98.4,67.1
47,Florida Atlantic 8,Amer,25-9,15.74,117.8,102.1,68.3
48,Utah,P12,22-15,15.41,114.6,99.2,70.0
49,Ohio St.,B10,22-14,15.19,115.2,100.0,66.5
50,Seton Hall,BE,25-12,15.03,113.1,98.1,66.8
51,Utah St. 8,MWC,28-7,14.89,116.0,101.1,68.9
52,Grand Canyon 12,WAC,30-5,14.84,112.9,98.1,68.5
53,Drake 10,MVC,28-7,14.53,115.1,100.5,68.0
54,South Carolina 6,SEC,26-8,14.4,114.9,100.5,63.2
55,Oregon 11,P12,24-12,14.19,114.7,100.5,67.3
56,Xavier,BE,16-18,14.17,113.2,99.0,71.2
57,Iowa,B10,19-15,14.15,119.6,105.4,71.8
58,Virginia Tech,ACC,19-15,14.08,115.8,101.7,68.0
59,Providence,BE,21-14,13.7,109.1,95.4,67.6
60,Washington,P12,17-15,12.95,115.3,102.3,71.2
61,Butler,BE,18-15,12.6,113.2,100.6,68.6
62,Maryland,B10,16-17,12.51,107.3,94.7,65.5
63,James Madison 12,SB,32-4,12.42,113.0,100.6,69.7
64,Bradley,MVC,23-12,12.18,112.1,100.0,66.4
65,San Francisco,WCC,23-11,12.05,110.5,98.4,67.4
66,UCF,B12,17-16,11.83,107.5,95.6,68.7
67,McNeese St. 12,Slnd,30-4,11.8,113.4,101.5,65.9
68,Virginia 10,ACC,23-11,11.8,105.1,93.3,60.1
69,Princeton,Ivy,24-5,11.58,116.7,105.1,65.5
70,Kansas St.,B12,19-15,11.52,108.3,96.8,67.7
71,Boston College,ACC,20-16,11.44,113.9,102.4,67.0
72,SMU,Amer,20-13,11.13,111.9,100.8,67.7
73,UNLV,MWC,21-13,10.86,113.0,102.2,65.6
74,North Texas,Amer,19-15,10.83,110.3,99.4,61.8
75,VCU,A10,24-14,10.69,109.2,98.5,65.6
76,Memphis,Amer,22-10,10.59,113.2,102.6,71.6
77,Penn St.,B10,16-17,10.49,111.5,101.1,69.8
78,Minnesota,B10,19-15,10.39,113.6,103.2,66.6
79,Florida St.,ACC,17-16,10.29,110.9,100.6,71.1
80,Syracuse,ACC,20-12,10.26,111.7,101.4,70.8
81,Samford 13,SC,29-6,10.03,113.6,103.6,72.8
82,UC Irvine,BW,24-10,9.97,109.5,99.6,68.6
83,Appalachian St.,SB,27-7,9.88,108.4,98.6,67.1
84,Georgia,SEC,20-17,9.82,109.4,99.6,69.0
85,USC,P12,15-18,9.63,110.5,100.8,68.2
86,Mississippi,SEC,20-12,9.36,113.9,104.5,66.9
87,South Florida,Amer,25-8,9.26,111.0,101.7,68.2
88,Duquesne 11,A10,25-12,9.19,107.2,98.0,66.2
89,Richmond,A10,23-10,9.08,107.2,98.1,66.8
90,Yale 13,Ivy,23-10,9.07,110.9,101.8,64.9
91,Indiana,B10,19-14,8.74,109.8,101.1,68.5
92,Massachusetts,A10,20-11,8.58,111.8,103.2,68.3
93,Loyola Chicago,A10,23-10,8.38,105.5,97.1,68.7
94,Louisiana Tech,CUSA,22-10,8.33,108.8,100.5,65.8
95,LSU,SEC,17-16,8.26,110.5,102.2,69.9
96,Miami FL,ACC,15-17,8.17,111.2,103.0,68.6
97,George Mason,A10,20-12,8.09,109.5,101.5,63.8
98,UCLA,P12,16-17,7.96,107.4,99.4,63.1
99,Saint Joseph's,A10,21-14,7.69,110.6,102.9,68.5
100,Rutgers,B10,15-17,7.56,99.4,91.8,67.9
101,Charleston 13,CAA,27-8,7.52,113.9,106.4,70.3
102,St. Bonaventure,A10,20-13,7.33,111.6,104.3,65.7
103,Cornell,Ivy,22-8,7.19,113.4,106.2,71.5
104,Vermont 13,AE,28-7,6.61,106.5,99.9,63.3
105,Stanford,P12,14-18,6.57,110.5,103.9,69.7
106,UAB 12,Amer,23-12,6.49,113.7,107.2,67.8
107,Seattle,WAC,23-14,6.48,105.9,99.4,66.9
108,Arkansas,SEC,16-17,5.87,110.0,104.1,70.8
109,Santa Clara,WCC,20-13,5.7,109.8,104.1,69.2
110,Western Carolina,SC,22-10,5.68,109.2,103.5,66.9
111,Northern Iowa,MVC,19-14,5.52,109.2,103.6,66.8
112,UT Arlington,WAC,20-14,5.38,109.5,104.2,71.1
113,Hofstra,CAA,20-13,5.35,108.5,103.1,65.8
114,High Point,BSth,27-9,5.33,115.8,110.5,68.8
115,Belmont,MVC,20-13,5.31,109.4,104.0,71.3
116,Morehead St. 14,OVC,26-9,5.15,109.1,104.0,64.3
117,Oklahoma St.,B12,12-20,4.9,108.8,103.9,67.2
118,Notre Dame,ACC,13-20,4.85,103.3,98.4,64.4
119,UNC Wilmington,CAA,21-10,4.73,113.3,108.6,65.4
120,Charlotte,Amer,19-12,4.65,108.7,104.1,62.5
121,California,P12,13-19,4.64,109.0,104.4,68.6
122,Akron 14,MAC,24-11,4.58,106.8,102.2,66.0
123,Georgia Tech,ACC,14-18,4.45,109.4,105.0,67.6
124,Southern Illinois,MVC,19-13,4.44,109.3,104.8,64.5
125,Davidson,A10,15-17,4.28,105.7,101.4,65.7
126,Drexel,CAA,20-12,4.17,108.3,104.1,64.6
127,Arizona St.,P12,14-18,3.92,104.0,100.1,69.2
128,Michigan,B10,8-24,3.9,110.6,106.7,67.5
129,Tarleton St.,WAC,25-10,3.75,109.3,105.5,67.0
130,UC San Diego,BW,21-12,3.74,111.8,108.1,65.6
131,Oakland 14,Horz,24-12,3.73,109.3,105.6,66.5
132,Troy,SB,20-12,3.65,107.2,103.5,69.8
133,Arkansas St.,SB,20-17,3.4,113.4,110.0,68.1
134,Youngstown St.,Horz,22-10,3.02,108.3,105.3,69.0
135,Western Kentucky 15,CUSA,22-12,2.9,105.4,102.5,75.3
136,Tulane,Amer,14-17,2.73,110.8,108.0,72.8
137,Liberty,CUSA,18-14,2.73,109.2,106.5,64.7
138,South Dakota St. 15,Sum,22-13,2.69,108.8,106.1,68.0
139,Toledo,MAC,20-12,2.55,112.7,110.1,69.4
140,Chattanooga,SC,21-12,2.52,110.4,107.9,67.1
141,Furman,SC,17-16,2.37,109.9,107.6,68.9
142,Sam Houston St.,CUSA,21-12,2.27,106.0,103.7,67.6
143,Ohio,MAC,20-13,2.13,109.1,106.9,67.5
144,West Virginia,B12,9-23,1.94,108.3,106.4,68.5
145,Missouri,SEC,8-24,1.79,108.4,106.6,66.7
146,Towson,CAA,20-14,1.77,103.5,101.7,62.3
147,UNC Greensboro,SC,21-11,1.74,109.2,107.5,64.9
148,St. Thomas,Sum,20-13,1.71,107.6,105.9,63.1
149,Missouri St.,MVC,17-16,1.61,104.5,102.9,67.9
150,Colgate 14,Pat,25-10,1.5,104.8,103.3,66.4
151,Louisiana,SB,19-14,1.4,105.9,104.5,68.8
152,Eastern Washington,BSky,21-11,1.35,112.0,110.7,70.6
153,UMass Lowell,AE,22-10,1.31,106.2,104.9,70.2
154,Wichita St.,Amer,15-19,1.12,104.7,103.6,68.1
155,Oregon St.,P12,13-19,1.03,107.0,105.9,65.3
156,Weber St.,BSky,20-12,0.92,108.6,107.7,65.7
157,Purdue Fort Wayne,Horz,23-13,0.83,104.9,104.1,70.9
158,Wright St.,Horz,18-14,0.8,116.1,115.3,71.6
159,Wyoming,MWC,15-17,0.79,108.7,107.9,67.2
160,Murray St.,MVC,12-20,0.52,107.4,106.9,64.5
161,Longwood 16,BSth,21-14,0.35,105.5,105.2,66.9
162,Utah Valley,WAC,16-16,-0.1,100.2,100.3,67.7
163,Montana,BSky,24-12,-0.17,110.6,110.8,66.3
164,UNC Asheville,BSth,22-12,-0.21,107.4,107.6,68.2
165,Long Beach St. 15,BW,21-15,-0.25,107.3,107.5,71.5
166,Lipscomb,ASun,20-12,-0.39,112.0,112.4,69.1
167,Hawaii,BW,20-14,-0.59,104.8,105.3,66.2
168,Stony Brook,CAA,20-15,-0.63,106.3,106.9,67.6
169,Delaware,CAA,19-14,-0.63,105.0,105.6,67.5
170,Stephen F. Austin,WAC,18-15,-0.65,102.0,102.6,69.3
171,Kent St.,MAC,17-17,-0.81,106.1,107.0,66.6
172,Quinnipiac,MAAC,24-10,-0.85,105.2,106.0,71.4
173,Bryant,AE,20-13,-0.91,101.1,102.0,74.2
174,East Tennessee St.,SC,19-16,-0.97,103.4,104.4,67.1
175,Fairfield,MAAC,24-13,-0.98,108.4,109.4,68.6
176,Winthrop,BSth,17-15,-1.11,107.0,108.1,67.0
177,UC Davis,BW,20-13,-1.12,102.3,103.4,67.2
178,UTEP,CUSA,18-16,-1.15,98.4,99.5,69.8
179,Illinois St.,MVC,15-17,-1.86,102.7,104.6,63.8
180,Texas St.,SB,17-18,-1.93,100.7,102.6,66.5
181,Temple,Amer,16-20,-2.21,102.6,104.8,66.9
182,Texas A&M Corpus Chris,Slnd,21-12,-2.25,100.4,102.7,68.9
183,Vanderbilt,SEC,9-23,-2.26,105.2,107.4,65.7
184,Tulsa,Amer,16-15,-2.27,103.0,105.3,70.6
185,Louisville,ACC,8-24,-2.31,105.9,108.2,69.9
186,Northern Kentucky,Horz,18-15,-2.33,103.3,105.6,68.2
187,Loyola Marymount,WCC,12-19,-2.37,108.4,110.7,64.7
188,Fordham,A10,13-20,-2.41,101.2,103.6,68.8
189,East Carolina,Amer,15-18,-2.45,104.8,107.2,65.0
190,Cal Baptist,WAC,16-17,-2.47,103.2,105.7,63.7
191,Brown,Ivy,13-18,-2.47,104.3,106.7,67.3
192,Georgetown,BE,9-23,-2.5,110.6,113.1,66.7
193,Wofford,SC,17-15,-2.57,107.5,110.1,65.6
194,Little Rock,OVC,21-13,-2.62,106.7,109.3,68.9
195,La Salle,A10,16-17,-2.74,106.1,108.8,66.7
196,Illinois Chicago,MVC,12-21,-2.76,100.9,103.6,68.3
197,Cleveland St.,Horz,21-15,-2.78,106.1,108.9,67.5
198,Monmouth,CAA,18-15,-2.82,105.7,108.6,67.9
199,Saint Louis,A10,13-20,-2.83,111.5,114.4,69.5
200,Jacksonville St.,CUSA,14-18,-2.94,102.0,105.0,64.8
201,Saint Peter's 15,MAAC,19-14,-3.03,98.4,101.4,64.1
202,Northern Colorado,BSky,19-14,-3.25,107.6,110.8,70.0
203,George Washington,A10,15-17,-3.41,107.3,110.7,69.8
204,Gardner Webb,BSth,17-16,-3.59,102.3,105.9,69.5
205,UC Santa Barbara,BW,16-15,-3.63,106.2,109.8,67.4
206,Rhode Island,A10,12-20,-3.85,106.7,110.5,68.8
207,Abilene Christian,WAC,16-18,-3.86,101.8,105.6,68.6
208,Evansville,MVC,17-18,-3.92,102.1,106.1,68.6
209,Mercer,SC,16-17,-3.94,104.4,108.4,66.2
210,Lamar,Slnd,19-14,-3.97,104.3,108.3,68.3
211,Eastern Kentucky,ASun,17-14,-4.02,107.0,111.0,68.9
212,Merrimack,NEC,21-12,-4.03,96.8,100.9,67.4
213,Penn,Ivy,11-18,-4.08,109.3,113.3,65.5
214,UMKC,Sum,16-16,-4.1,101.3,105.3,66.7
215,Marist,MAAC,18-13,-4.15,97.0,101.1,64.8
216,Tennessee Martin,OVC,21-11,-4.2,106.6,110.8,73.0
217,UC Riverside,BW,16-18,-4.21,104.7,108.9,67.1
218,Georgia St.,SB,14-17,-4.31,105.7,110.0,68.0
219,Norfolk St.,MEAC,24-11,-4.41,104.3,108.7,66.3
220,Stetson 16,ASun,22-13,-4.51,109.8,114.3,66.5
221,South Alabama,SB,16-16,-4.55,104.4,109.0,68.3
222,Milwaukee,Horz,20-15,-4.6,108.0,112.6,70.2
223,Montana St. 16,BSky,17-18,-4.65,103.5,108.2,69.0
224,Pepperdine,WCC,13-20,-4.66,106.1,110.8,67.4
225,Rider,MAAC,15-17,-4.68,102.8,107.5,68.1
226,Iona,MAAC,16-17,-4.86,103.5,108.4,67.1
227,Radford,BSth,16-17,-4.94,107.4,112.4,63.6
228,Harvard,Ivy,14-13,-4.95,102.0,106.9,67.5
229,Rice,Amer,11-21,-5.09,106.6,111.7,65.9
230,Green Bay,Horz,18-14,-5.1,104.0,109.0,63.7
231,Maine,AE,15-17,-5.23,97.3,102.5,65.5
232,Columbia,Ivy,13-14,-5.39,106.7,112.1,68.6
233,Cal St. Northridge,BW,19-15,-5.41,100.1,105.5,72.7
234,Nicholls St.,Slnd,20-14,-5.43,104.5,109.9,66.3
235,Cal St. Fullerton,BW,14-18,-5.45,100.1,105.5,66.5
236,North Dakota,Sum,18-14,-5.48,105.4,110.9,66.8
237,Fresno St.,MWC,12-21,-5.53,103.5,109.0,65.6
238,Marshall,SB,13-20,-5.55,101.4,106.9,70.5
239,Bowling Green,MAC,20-14,-5.57,102.4,107.9,67.8
240,North Florida,ASun,16-16,-5.61,107.1,112.7,67.2
241,Florida Gulf Coast,ASun,14-18,-5.63,103.3,109.0,63.9
242,Southern Utah,WAC,10-21,-5.73,106.0,111.8,69.6
243,Southern Miss,SB,16-16,-5.77,101.3,107.1,68.1
244,Albany,AE,13-19,-5.82,105.3,111.1,73.1
245,Austin Peay,ASun,19-16,-5.92,108.2,114.1,64.8
246,New Hampshire,AE,16-15,-5.95,100.0,106.0,71.5
247,Cal St. Bakersfield,BW,13-19,-6.05,101.1,107.2,64.9
248,San Jose St.,MWC,9-23,-6.18,105.8,112.0,65.8
249,Mount St. Mary's,MAAC,13-19,-6.25,102.5,108.7,69.2
250,Northeastern,CAA,12-20,-6.29,105.3,111.6,65.8
251,Portland St.,BSky,17-15,-6.32,99.6,105.9,69.4
252,North Alabama,ASun,15-17,-6.41,105.7,112.1,67.9
253,North Carolina Central,MEAC,18-13,-6.62,105.0,111.6,66.7
254,UTSA,Amer,11-21,-6.73,107.0,113.7,70.6
255,The Citadel,SC,11-21,-6.92,103.1,110.0,65.6
256,San Diego,WCC,18-15,-6.98,100.6,107.6,71.2
257,Miami OH,MAC,15-17,-6.98,99.8,106.7,67.5
258,Idaho St.,BSky,14-20,-7.07,103.4,110.5,64.1
259,Grambling St. 16,SWAC,21-15,-7.09,100.1,107.2,64.8
