Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
98,Notre Dame,ACC,15-18,6.9,111.3,104.4,64.9
99,UAB,Amer,24-13,6.7,116.3,109.6,69.5
100,Akron 13,MAC,28-7,6.47,113.6,107.1,71.7
101,Grand Canyon 13,WAC,26-8,6.29,107.4,101.1,71.4
102,Northern Iowa,MVC,20-13,6.09,109.6,103.5,65.4
103,Georgia Tech,ACC,17-17,5.87,107.2,101.3,68.9
104,Washington,B10,13-18,5.79,109.6,103.8,67.9
105,UNC Wilmington 14,CAA,27-8,5.28,112.2,106.9,65.9
106,Virginia,ACC,15-17,5.02,110.6,105.5,61.3
107,Loyola Chicago,A10,25-12,4.94,108.1,103.1,67.1
108,Jacksonville St.,CUSA,23-13,4.92,109.8,104.9,65.1
109,South Alabama,SB,21-11,4.49,107.7,103.2,63.3
110,California,ACC,14-19,4.43,111.3,106.9,67.7
111,Kent St.,MAC,24-12,4.3,106.2,101.9,66.7
112,Utah Valley,WAC,25-9,4.25,106.7,102.4,68.4
113,North Alabama,ASun,24-11,4.24,111.1,106.9,66.9
114,Wofford 15,SC,19-16,4.24,113.9,109.7,64.3
115,Syracuse,ACC,14-19,4.22,110.3,106.1,68.4
116,Florida Atlantic,Amer,18-16,4.13,112.6,108.5,69.0
117,CSUN,BW,22-11,4.09,109.0,104.9,72.5
118,Samford,SC,22-11,4.03,112.8,108.8,71.1
119,Middle Tennessee,CUSA,22-12,3.98,109.2,105.2,68.5
120,Washington St.,WCC,19-15,3.86,111.9,108.0,70.8
121,Saint Louis,A10,19-15,3.85,109.1,105.3,67.8
122,DePaul,BE,14-20,3.83,109.2,105.4,67.4
123,St. Bonaventure,A10,22-12,3.82,105.3,101.4,64.8
124,Belmont,MVC,22-11,3.64,112.6,109.0,70.7
125,N.C. State,ACC,12-19,3.63,107.6,103.9,65.5
126,Northern Colorado,BSky,25-10,3.63,112.2,108.6,68.9
127,Louisiana Tech,CUSA,20-12,3.53,108.9,105.4,64.7
128,George Washington,A10,21-13,3.39,107.1,103.7,67.4
129,Cornell,Ivy,18-11,3.37,115.0,111.7,71.1
130,St. Thomas,Sum,24-10,3.28,113.7,110.4,68.1
131,Kennesaw St.,CUSA,19-14,3.02,107.1,104.1,70.5
132,Illinois St.,MVC,22-14,2.92,112.7,109.8,66.2
133,Robert Morris 15,Horz,26-9,2.9,107.5,104.6,68.1
134,New Mexico St.,CUSA,17-15,2.82,104.3,101.5,65.1
135,North Dakota St.,Sum,21-11,2.62,115.4,112.7,65.1
136,Wichita St.,Amer,19-15,2.51,107.2,104.7,68.9
137,South Dakota St.,Sum,20-12,2.5,109.7,107.2,69.2
138,Murray St.,MVC,16-17,2.27,106.8,104.5,65.0
139,Furman,SC,25-10,2.26,110.3,108.1,66.1
