game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,pred_error,abs_pred_error,simulated_line_drift,simulated_live_line,z_score,abs_z_score,is_alert,confidence,bet_direction,theoretical_win_prob,random_outcome,bet_wins,pnl
22200080,2022-23,2022-10-28,POR,,236,125,111,204.65054,231.22546,244.21263,15.453941,4.7745361328125,4.7745361328125,-40.485387178016666,190.74007668917085,-2.6197451040897444,2.6197451040897444,True,HIGH,OVER,0.68,0.3748249243499977,True,100
22200113,2022-23,2022-11-02,MIL,,207,116,91,205.0408,211.4115,247.64801,16.64344,-4.4114990234375,4.4114990234375,40.99682291201336,252.40832193545086,2.463242112485286,2.463242112485286,True,MEDIUM,UNDER,0.62,0.30781915002611915,True,100
22200121,2022-23,2022-11-04,IND,,200,101,99,200.0222,219.70042,250.18925,19.596506,-19.700424194335938,19.700424194335938,42.92527707408908,262.625701268425,2.1904556258099785,2.1904556258099785,True,MEDIUM,UNDER,0.62,0.3301559503156044,True,100
22200181,2022-23,2022-11-11,MEM,,217,114,103,213.83423,236.36607,250.09956,14.166147,-19.366073608398438,19.366073608398438,38.534316910006694,274.9003905184051,2.7201691665896193,2.7201691665896193,True,HIGH,UNDER,0.68,0.043100108948324056,True,100
22200209,2022-23,2022-11-15,POR,,227,117,110,201.01637,226.06387,243.92395,16.760773,0.936126708984375,0.936126708984375,64.57475680856061,290.63863009957623,3.852731490654721,3.852731490654721,True,HIGH,UNDER,0.68,0.23748330516938398,True,100
22200223,2022-23,2022-11-17,LAC,,187,96,91,188.07355,208.30225,237.74342,19.402296,-21.30224609375,21.30224609375,44.9096908029604,253.2119368967104,2.3146585666735087,2.3146585666735087,True,MEDIUM,UNDER,0.62,0.10986311374078295,True,100
22200235,2022-23,2022-11-19,ATL,,246,124,122,203.64699,228.83958,246.16663,16.609234,17.160415649414062,17.160415649414062,35.60926875422459,264.4488531048105,2.1439440893253257,2.1439440893253257,True,MEDIUM,UNDER,0.62,0.08975950056015713,True,100
22200237,2022-23,2022-11-19,PHI,,221,109,112,206.00404,221.25537,243.06615,14.477385,-0.25537109375,0.25537109375,-29.318768030579342,191.93660306317065,-2.025142586657607,2.025142586657607,True,MEDIUM,OVER,0.62,0.006047043183978418,True,100
22200251,2022-23,2022-11-21,MIL,,230,119,111,200.94743,229.80797,240.69916,15.528018,0.1920318603515625,0.1920318603515625,32.95287962123125,262.7608477608797,2.1221561970126332,2.1221561970126332,True,MEDIUM,UNDER,0.62,0.32783819885003407,True,100
22200269,2022-23,2022-11-23,SAS,,239,110,129,210.22147,234.02466,244.8609,13.53103,4.975341796875,4.975341796875,-43.85768464811081,190.16697355501418,-3.2412673400690726,3.2412673400690726,True,HIGH,OVER,0.68,0.46503633422090995,True,100
22200283,2022-23,2022-11-25,PHX,,210,108,102,207.22357,219.11623,242.7066,13.860559,-9.116226196289062,9.116226196289062,29.56503592705534,248.6812621233444,2.1330333746562666,2.1330333746562666,True,MEDIUM,UNDER,0.62,0.8050973120411349,False,-110
22200319,2022-23,2022-11-30,OKC,,230,119,111,208.35628,230.30952,253.6365,17.68759,-0.3095245361328125,0.3095245361328125,37.00928751155103,267.3188120476838,2.0923872756854602,2.0923872756854602,True,MEDIUM,UNDER,0.62,0.600251410099583,True,100
