game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,z_score,abs_z_score,is_alert,confidence,bet_direction,simulated_live_line,bet_wins,pnl
22200058,2022-23,2022-10-26,NYK,,265,134,131,215.69708,232.49657,248.20023,12.696541,2.560022738184587,2.560022738184587,True,HIGH,UNDER,255.24897003173828,False,-110
22200111,2022-23,2022-11-02,CHI,,194,106,88,211.37146,227.72647,247.89957,14.268792,-2.3636528296882893,2.3636528296882893,True,MEDIUM,OVER,204.1179412841797,False,-110
22200168,2022-23,2022-11-09,OKC,,268,132,136,200.06418,218.14546,241.03525,16.004324,3.1150667838574644,3.1150667838574644,True,HIGH,UNDER,253.04363861083985,False,-110
22200192,2022-23,2022-11-13,NYK,,280,135,145,208.59312,233.81982,265.96323,22.410196,2.060676986231719,2.060676986231719,True,MEDIUM,UNDER,266.145947265625,False,-110
22200300,2022-23,2022-11-28,WAS,,269,142,127,206.05666,231.1342,248.30894,16.5048,2.294229383138326,2.294229383138326,True,MEDIUM,UNDER,257.64026031494143,False,-110
22200325,2022-23,2022-12-01,DET,,256,131,125,204.93684,223.66292,246.31525,16.163439,2.000631320804546,2.000631320804546,True,MEDIUM,UNDER,246.2988754272461,False,-110
22200331,2022-23,2022-12-02,MIL,,262,129,133,206.32993,224.22722,248.35536,16.416187,2.3009472731476586,2.3009472731476586,True,MEDIUM,UNDER,250.6681655883789,False,-110
22200402,2022-23,2022-12-12,IND,,169,82,87,190.19579,225.83646,247.99937,22.579527,-2.517167722220697,2.517167722220697,True,HIGH,OVER,186.05093688964843,False,-110
22200422,2022-23,2022-12-14,DEN,,269,141,128,209.42195,231.44508,249.87325,15.801287,2.376699891664177,2.376699891664177,True,MEDIUM,UNDER,257.73352508544923,False,-110
22200414,2022-23,2022-12-14,CHA,,275,134,141,208.65973,226.64732,257.8698,19.222689,2.515396113899025,2.515396113899025,True,HIGH,UNDER,260.4941970825195,False,-110
22200465,2022-23,2022-12-20,DEN,,196,105,91,211.06117,237.47752,252.83319,16.317196,-2.5419516979138295,2.5419516979138295,True,HIGH,OVER,208.4432571411133,False,-110
22200558,2022-23,2023-01-02,GSW,,284,143,141,215.99052,232.2798,253.16132,14.519841,3.562036174733699,3.562036174733699,True,HIGH,UNDER,268.4839401245117,False,-110
22200552,2022-23,2023-01-02,CLE,,279,145,134,202.524,225.8401,255.50179,20.694447,2.568800121660668,2.568800121660668,True,HIGH,UNDER,263.0520309448242,False,-110
22200550,2022-23,2023-01-02,NYK,,185,102,83,207.99829,227.57314,247.12247,15.282882,-2.785674593920861,2.785674593920861,True,HIGH,OVER,197.77194061279297,False,-110
22200565,2022-23,2023-01-04,CLE,,178,90,88,200.9094,220.76979,245.11948,17.269564,-2.476599377638616,2.476599377638616,True,MEDIUM,OVER,190.83093719482423,False,-110
22200702,2022-23,2023-01-22,DEN,,200,99,101,212.6844,232.64983,252.93906,15.724475,-2.0763698783628906,2.0763698783628906,True,MEDIUM,OVER,209.7949478149414,False,-110
22200706,2022-23,2023-01-23,DET,,280,130,150,208.65897,232.15102,263.39172,21.379984,2.2380271184499185,2.2380271184499185,True,MEDIUM,UNDER,265.64530487060546,False,-110
22200835,2022-23,2023-02-10,DET,,269,138,131,207.85558,228.72223,248.63615,15.9299135,2.5284362619715064,2.5284362619715064,True,HIGH,UNDER,256.9166687011719,False,-110
22200857,2022-23,2023-02-13,CHA,,282,144,138,210.65121,235.8571,259.85394,19.219816,2.4007981169267496,2.4007981169267496,True,MEDIUM,UNDER,268.1571304321289,False,-110
22200887,2022-23,2023-02-23,IND,,280,138,142,209.99286,229.47728,270.9102,23.795832,2.123175227312823,2.123175227312823,True,MEDIUM,UNDER,264.84318389892576,False,-110
22200902,2022-23,2023-02-24,LAC,,351,175,176,211.9215,231.64854,282.92722,27.73661,4.303029602862665,4.303029602862665,True,HIGH,UNDER,315.194563293457,False,-110
22200903,2022-23,2023-02-25,DET,,186,91,95,205.68857,224.49702,248.71964,16.809011,-2.2902610679533764,2.2902610679533764,True,MEDIUM,OVER,197.54910736083986,False,-110
22200912,2022-23,2023-02-26,CHI,,184,102,82,200.55118,224.9863,249.58032,19.15201,-2.1400520198395228,2.1400520198395228,True,MEDIUM,OVER,196.29588928222657,False,-110
22200918,2022-23,2023-02-26,DEN,,258,134,124,211.61621,225.55203,247.61229,14.060968,2.3076623606873414,2.3076623606873414,True,MEDIUM,UNDER,248.26560974121094,False,-110
22200970,2022-23,2023-03-05,LAC,,264,135,129,204.23694,225.05727,250.06306,17.900831,2.1754706963342567,2.1754706963342567,True,MEDIUM,UNDER,252.31717987060546,False,-110
22200972,2022-23,2023-03-06,IND,,290,143,147,210.1925,230.9869,265.36673,21.552433,2.7381181169523177,2.7381181169523177,True,HIGH,UNDER,272.2960678100586,False,-110
22201018,2022-23,2023-03-12,SAS,,192,90,102,203.8413,232.24461,252.16812,18.877668,-2.1318635774175574,2.1318635774175574,True,MEDIUM,OVER,204.0733840942383,False,-110
22201073,2022-23,2023-03-20,NYK,,274,134,140,210.30676,233.67442,256.9708,18.228138,2.212270767790956,2.212270767790956,True,MEDIUM,UNDER,261.902326965332,False,-110
22201134,2022-23,2023-03-28,OKC,,271,134,137,207.72821,221.65378,250.72496,16.795607,2.9380434455499738,2.9380434455499738,True,HIGH,UNDER,256.1961334228516,False,-110
22201141,2022-23,2023-03-29,MEM,,273,132,141,205.80661,226.8754,250.6495,17.516756,2.6331703837997784,2.6331703837997784,True,HIGH,UNDER,259.16261901855466,False,-110
22201160,2022-23,2023-03-31,PHX,,193,100,93,206.33975,229.55663,244.5514,14.926428,-2.4491208315321207,2.4491208315321207,True,MEDIUM,OVER,203.96698760986328,False,-110
22201170,2022-23,2023-04-02,SAC,,276,134,142,213.29898,236.25252,257.42227,17.23566,2.306118885181681,2.306118885181681,True,MEDIUM,UNDER,264.0757553100586,False,-110
22201194,2022-23,2023-04-05,NOP,,269,138,131,209.58507,228.56589,261.0202,20.09185,2.0124633612039435,2.0124633612039435,True,MEDIUM,UNDER,256.86976623535156,False,-110
22201207,2022-23,2023-04-07,BKN,,185,101,84,205.29744,225.71974,246.91129,16.25541,-2.504996411857719,2.504996411857719,True,HIGH,OVER,197.2159225463867,False,-110
22201220,2022-23,2023-04-09,NYK,,277,136,141,213.86884,228.33247,259.26312,17.732143,2.744593540753489,2.744593540753489,True,HIGH,UNDER,262.39974212646484,False,-110
22300069,2023-24,2023-10-25,TOR,,191,97,94,204.08864,227.04314,242.68901,15.078271,-2.390402507464401,2.390402507464401,True,MEDIUM,OVER,201.8129409790039,False,-110
