team_abbr,Team,en_goals_for,en_goals_against,en_differential,en_situations,en_success_rate,en_goals_for_offensive,en_goals_against_offensive,en_situations_offensive,en_goals_for_defensive,en_goals_against_defensive,en_situations_defensive
ana,ANAHEIM DUCKS,6,6,0,13,0.0,2,3,6,4,3,7
bos,BOSTON BRUINS,4,6,-2,16,-0.125,1,3,7,3,3,9
buf,BUFFALO SABRES,1,8,-7,12,-0.5833333333333334,0,8,9,1,0,3
cgy,CALGARY FLAMES,3,5,-2,14,-0.14285714285714285,1,5,11,2,0,3
car,CAROLINA HURRICANES,5,3,2,11,0.18181818181818182,1,3,5,4,0,6
chi,CHICAGO BLACKHAWKS,4,3,1,13,0.07692307692307693,0,1,4,4,2,9
col,COLORADO AVALANCHE,7,0,7,11,0.6363636363636364,1,0,1,6,0,10
cbj,COLUMBUS BLUE JACKETS,3,5,-2,14,-0.14285714285714285,1,3,7,2,2,7
dal,DALLAS STARS,4,3,1,15,0.06666666666666667,2,3,6,2,0,9
det,DETROIT RED WINGS,8,4,4,16,0.25,0,2,4,8,2,12
edm,EDMONTON OILERS,4,3,1,11,0.09090909090909091,1,3,7,3,0,4
fla,FLORIDA PANTHERS,2,7,-5,13,-0.38461538461538464,1,6,8,1,1,5
lak,LOS ANGELES KINGS,7,2,5,14,0.35714285714285715,4,2,8,3,0,6
min,MINNESOTA WILD,4,8,-4,13,-0.3076923076923077,0,6,7,4,2,6
mtl,MONTREAL CANADIENS,2,7,-5,15,-0.3333333333333333,1,3,7,1,4,8
nsh,NASHVILLE PREDATORS,6,9,-3,19,-0.15789473684210525,3,6,11,3,3,8
njd,NEW JERSEY DEVILS,8,4,4,13,0.3076923076923077,2,2,4,6,2,9
nyi,NEW YORK ISLANDERS,6,6,0,16,0.0,3,3,8,3,3,8
nyr,NEW YORK RANGERS,3,6,-3,12,-0.25,0,6,8,3,0,4
ott,OTTAWA SENATORS,5,5,0,13,0.0,3,4,8,2,1,5
phi,PHILADELPHIA FLYERS,6,2,4,13,0.3076923076923077,2,2,9,4,0,4
pit,PITTSBURGH PENGUINS,8,2,6,14,0.42857142857142855,1,1,4,7,1,10
sjs,SAN JOSE SHARKS,2,6,-4,11,-0.36363636363636365,1,4,7,1,2,4
sea,SEATTLE KRAKEN,6,2,4,12,0.3333333333333333,2,1,4,4,1,8
stl,ST. LOUIS BLUES,3,4,-1,11,-0.09090909090909091,0,3,4,3,1,7
tbl,TAMPA BAY LIGHTNING,5,4,1,15,0.06666666666666667,1,3,8,4,1,7
tor,TORONTO MAPLE LEAFS,6,4,2,18,0.1111111111111111,0,3,9,6,1,9
uth,UTAH MAMMOTH,4,4,0,12,0.0,0,4,6,4,0,6
van,VANCOUVER CANUCKS,5,8,-3,15,-0.2,4,6,11,1,2,4
vgk,VEGAS GOLDEN KNIGHTS,5,3,2,11,0.18181818181818182,2,2,5,3,1,6
wsh,WASHINGTON CAPITALS,3,4,-1,11,-0.09090909090909091,1,4,7,2,0,4
wpg,WINNIPEG JETS,5,7,-2,17,-0.11764705882352941,0,4,7,5,3,10
