team_abbr,Team,en_goals_for,en_goals_against,en_differential,en_situations,en_success_rate,en_goals_for_offensive,en_goals_against_offensive,en_situations_offensive,en_goals_for_defensive,en_goals_against_defensive,en_situations_defensive
ana,ANAHEIM DUCKS,6,5,1,12,0.5,4,3,7,2,2,5
bos,BOSTON BRUINS,4,6,-2,15,0.26666666666666666,3,3,8,1,3,7
buf,BUFFALO SABRES,1,8,-7,12,0.08333333333333333,1,0,3,0,8,9
car,CAROLINA HURRICANES,5,3,2,11,0.45454545454545453,4,0,6,1,3,5
cbj,COLUMBUS BLUE JACKETS,3,5,-2,14,0.21428571428571427,2,2,7,1,3,7
cgy,CALGARY FLAMES,2,5,-3,13,0.15384615384615385,2,0,3,0,5,10
chi,CHICAGO BLACKHAWKS,4,3,1,12,0.3333333333333333,4,2,8,0,1,4
col,COLORADO AVALANCHE,6,0,6,10,0.6,5,0,9,1,0,1
dal,DALLAS STARS,4,3,1,14,0.2857142857142857,2,0,8,2,3,6
det,DETROIT RED WINGS,8,4,4,15,0.5333333333333333,8,2,11,0,2,4
edm,EDMONTON OILERS,4,3,1,11,0.36363636363636365,3,0,4,1,3,7
fla,FLORIDA PANTHERS,2,6,-4,12,0.16666666666666666,1,1,5,1,5,7
lak,LOS ANGELES KINGS,7,2,5,13,0.5384615384615384,3,0,5,4,2,8
min,MINNESOTA WILD,3,8,-5,12,0.25,3,2,5,0,6,7
mtl,MONTREAL CANADIENS,2,7,-5,14,0.14285714285714285,1,4,8,1,3,6
njd,NEW JERSEY DEVILS,8,4,4,13,0.6153846153846154,6,2,9,2,2,4
nsh,NASHVILLE PREDATORS,5,8,-3,17,0.29411764705882354,3,3,8,2,5,9
nyi,NEW YORK ISLANDERS,6,5,1,15,0.4,3,3,8,3,2,7
nyr,NEW YORK RANGERS,3,6,-3,11,0.2727272727272727,3,0,4,0,6,7
ott,OTTAWA SENATORS,5,5,0,12,0.4166666666666667,2,1,5,3,4,7
phi,PHILADELPHIA FLYERS,6,2,4,12,0.5,4,0,4,2,2,8
pit,PITTSBURGH PENGUINS,7,1,6,12,0.5833333333333334,6,0,8,1,1,4
sea,SEATTLE KRAKEN,5,2,3,11,0.45454545454545453,3,1,7,2,1,4
sjs,SAN JOSE SHARKS,2,5,-3,10,0.2,1,2,4,1,3,6
stl,ST. LOUIS BLUES,3,4,-1,11,0.2727272727272727,3,1,7,0,3,4
tbl,TAMPA BAY LIGHTNING,4,3,1,13,0.3076923076923077,3,1,6,1,2,7
tor,TORONTO MAPLE LEAFS,6,4,2,17,0.35294117647058826,6,1,9,0,3,8
uta,UTAH MAMMOTH,4,4,0,12,0.3333333333333333,4,0,6,0,4,6
van,VANCOUVER CANUCKS,4,8,-4,14,0.2857142857142857,0,2,3,4,6,11
vgk,VEGAS GOLDEN KNIGHTS,5,3,2,11,0.45454545454545453,3,1,6,2,2,5
wpg,WINNIPEG JETS,5,6,-1,16,0.3125,5,2,9,0,4,7
wsh,WASHINGTON CAPITALS,3,4,-1,11,0.2727272727272727,2,0,4,1,4,7
