team,season,games_played,goals_for,goals_against,goals_per_game,goals_against_per_game,xgoals_for,xgoals_against,xgoals_per_game,xgoals_against_per_game,goals_above_expected,shots_per_game,shots_against_per_game,shot_attempts_per_game,shot_attempts_against_per_game,shooting_pct,save_pct,faceoff_win_pct,corsi_for_pct,fenwick_for_pct,xgoals_pct,pdo,high_danger_shots_for,high_danger_shots_against,high_danger_goals_for,high_danger_goals_against,hd_shooting_pct,hd_save_pct,medium_danger_shots_for,medium_danger_shots_against,low_danger_shots_for,low_danger_shots_against,rebound_goals_for,rebound_goals_against,rebounds_for,rebounds_against,penalties_for,penalties_against,penalty_minutes_for,penalty_minutes_against,power_play_pct,penalty_kill_pct,win_pct
fla,20212022,82,337.0,242.0,4.109756097560975,2.951219512195122,319.35,260.84,3.8945121951219517,3.1809756097560973,17.649999999999977,37.34146341463415,30.670731707317074,65.53658536585365,52.4390243902439,11.00587851077727,0.9037773359840955,48.23505407059784,0.56,0.55,0.55,101.38361210918681,320.0,288.0,114.0,76.0,35.625,0.7361111111111112,979.0,733.0,2752.0,2284.0,57.0,33.0,268.0,242.0,320.0,316.0,712.0,701.0,20.0,80.0,0.6
ott,20212022,82,224.0,264.0,2.731707317073171,3.2195121951219514,249.73,270.68,3.0454878048780487,3.300975609756098,-25.72999999999999,30.0609756097561,33.41463414634146,54.853658536585364,60.0,9.087221095334685,0.9036496350364963,47.92387543252595,0.48,0.48,0.48,99.45218459898432,255.0,258.0,77.0,85.0,30.19607843137255,0.6705426356589148,764.0,856.0,2392.0,2608.0,26.0,40.0,190.0,214.0,313.0,307.0,728.0,715.0,20.0,80.0,0.0
van,20212022,82,246.0,231.0,3.0,2.817073170731707,249.26,251.24,3.0397560975609754,3.0639024390243903,-3.259999999999991,31.98780487804878,31.853658536585368,58.31707317073171,57.646341463414636,9.378574151734655,0.9115620214395099,51.95675675675676,0.5,0.5,0.5,100.53477629568565,233.0,234.0,80.0,73.0,34.33476394849785,0.688034188034188,684.0,744.0,2660.0,2573.0,39.0,34.0,198.0,196.0,273.0,293.0,619.0,635.0,20.0,80.0,0.6
stl,20212022,82,309.0,239.0,3.768292682926829,2.9146341463414633,254.52,251.08,3.1039024390243903,3.061951219512195,54.47999999999999,30.390243902439025,31.597560975609756,52.170731707317074,56.40243902439025,12.39967897271268,0.90775762253956,50.243578387953946,0.48,0.48,0.5,103.17544122666868,220.0,220.0,91.0,70.0,41.36363636363637,0.6818181818181819,775.0,739.0,2328.0,2662.0,40.0,37.0,179.0,206.0,259.0,279.0,557.0,595.0,20.0,80.0,0.6
phi,20212022,82,210.0,294.0,2.5609756097560976,3.5853658536585367,236.92,279.56,2.8892682926829267,3.4092682926829267,-26.919999999999987,30.975609756097562,33.97560975609756,54.86585365853659,61.08536585365854,8.267716535433072,0.8944723618090452,52.14057507987221,0.47,0.47,0.46,97.71495271633759,254.0,283.0,71.0,102.0,27.95275590551181,0.6395759717314488,688.0,836.0,2461.0,2656.0,39.0,36.0,224.0,213.0,287.0,293.0,645.0,656.0,20.0,80.0,0.0
det,20212022,82,227.0,310.0,2.768292682926829,3.7804878048780486,232.64,282.87,2.837073170731707,3.4496341463414635,-5.639999999999986,29.451219512195124,33.68292682926829,51.21951219512195,58.646341463414636,9.399585921325052,0.887762490948588,49.36291739894551,0.47,0.46,0.45,98.17583501618385,249.0,268.0,77.0,99.0,30.923694779116467,0.6305970149253731,673.0,865.0,2272.0,2585.0,32.0,32.0,190.0,172.0,283.0,287.0,641.0,645.0,20.0,80.0,0.0
buf,20212022,82,229.0,287.0,2.792682926829268,3.5,210.04,255.95,2.5614634146341464,3.121341463414634,18.960000000000008,29.890243902439025,32.96341463414634,51.670731707317074,55.292682926829265,9.34312525499796,0.8938216796152423,45.993662290629246,0.48,0.47,0.45,98.72529321652219,176.0,251.0,66.0,95.0,37.5,0.6215139442231076,609.0,705.0,2493.0,2681.0,34.0,42.0,156.0,218.0,247.0,259.0,553.0,571.0,20.0,80.0,0.0
sjs,20212022,82,211.0,261.0,2.573170731707317,3.182926829268293,222.36,257.29,2.711707317073171,3.1376829268292687,-11.360000000000014,29.26829268292683,31.975609756097562,52.98780487804878,61.73170731707317,8.791666666666668,0.9004576659038902,49.606126914660834,0.46,0.47,0.46,98.8374332570557,210.0,236.0,65.0,85.0,30.952380952380953,0.6398305084745763,651.0,758.0,2443.0,2699.0,32.0,35.0,177.0,185.0,283.0,278.0,663.0,662.0,20.0,80.0,0.0
col,20212022,82,308.0,232.0,3.7560975609756095,2.8292682926829267,275.81,244.16,3.363536585365854,2.977560975609756,32.19,35.048780487804876,32.03658536585366,62.91463414634146,56.01219512195122,10.716771050800277,0.9116863342215455,47.274954072259646,0.53,0.52,0.53,101.88540447295483,287.0,251.0,103.0,82.0,35.88850174216028,0.6733067729083666,700.0,697.0,2833.0,2561.0,43.0,43.0,217.0,211.0,293.0,336.0,654.0,740.0,20.0,80.0,0.6
bos,20212022,82,253.0,218.0,3.0853658536585367,2.658536585365854,260.58,223.86,3.1778048780487804,2.73,-7.579999999999984,36.13414634146341,28.70731707317073,59.71951219512195,52.08536585365854,8.538643266959163,0.907391673746814,54.16922761729154,0.53,0.55,0.54,99.27781064164057,248.0,220.0,85.0,83.0,34.274193548387096,0.6227272727272728,729.0,605.0,2919.0,2428.0,50.0,35.0,203.0,146.0,336.0,302.0,743.0,674.0,20.0,80.0,0.6
nyr,20212022,82,250.0,204.0,3.048780487804878,2.4878048780487805,239.47,227.42,2.9203658536585366,2.7734146341463415,10.530000000000001,29.170731707317074,30.841463414634145,52.109756097560975,57.048780487804876,10.451505016722408,0.9193357058125742,48.06436567164179,0.48,0.48,0.51,102.38507559797982,244.0,219.0,82.0,62.0,33.60655737704918,0.7168949771689498,627.0,668.0,2416.0,2624.0,43.0,36.0,190.0,209.0,283.0,267.0,625.0,595.0,20.0,80.0,0.6
mtl,20212022,82,218.0,317.0,2.658536585365854,3.8658536585365852,216.55,278.75,2.6408536585365856,3.399390243902439,1.4499999999999886,29.804878048780488,34.4390243902439,52.926829268292686,60.84146341463415,8.919803600654665,0.8877478753541077,49.205340114431024,0.47,0.46,0.44,97.69459113606543,221.0,289.0,64.0,98.0,28.95927601809955,0.6608996539792388,591.0,820.0,2421.0,2696.0,32.0,43.0,188.0,223.0,319.0,297.0,694.0,640.0,20.0,80.0,0.0
tbl,20212022,82,285.0,228.0,3.475609756097561,2.7804878048780486,270.79,252.28,3.302317073170732,3.0765853658536586,14.20999999999998,30.914634146341463,29.78048780487805,55.59756097560975,53.792682926829265,11.242603550295858,0.9066339066339066,50.11779824373528,0.51,0.51,0.52,101.90599421368651,256.0,246.0,92.0,85.0,35.9375,0.6544715447154472,843.0,734.0,2463.0,2387.0,35.0,41.0,169.0,159.0,335.0,341.0,769.0,801.0,20.0,80.0,0.6
lak,20212022,82,235.0,232.0,2.8658536585365852,2.8292682926829267,272.44,242.29,3.3224390243902437,2.9547560975609755,-37.44,34.951219512195124,28.573170731707318,62.03658536585366,52.853658536585364,8.199581297976273,0.9009816474605207,52.192489318641776,0.54,0.55,0.53,98.29774604402834,275.0,247.0,94.0,66.0,34.18181818181818,0.7327935222672064,803.0,750.0,2852.0,2246.0,40.0,31.0,252.0,208.0,274.0,288.0,603.0,623.0,20.0,80.0,0.6
ana,20212022,82,228.0,266.0,2.7804878048780486,3.2439024390243905,215.84,248.46,2.6321951219512196,3.0300000000000002,12.159999999999997,29.20731707317073,33.23170731707317,53.646341463414636,59.707317073170735,9.519832985386222,0.9023853211009174,48.2039911308204,0.47,0.47,0.46,99.75836509547796,203.0,201.0,74.0,60.0,36.45320197044335,0.7014925373134329,604.0,732.0,2519.0,2841.0,37.0,22.0,173.0,198.0,295.0,286.0,695.0,690.0,20.0,80.0,0.0
car,20212022,82,277.0,200.0,3.3780487804878048,2.4390243902439024,290.18,226.53,3.5387804878048783,2.762560975609756,-13.180000000000007,34.1219512195122,28.170731707317074,62.40243902439025,49.5,9.899928520371693,0.9134199134199135,53.904801153925405,0.56,0.55,0.56,101.24191986236303,303.0,232.0,88.0,60.0,29.042904290429046,0.7413793103448276,808.0,659.0,2863.0,2310.0,52.0,36.0,271.0,214.0,312.0,264.0,660.0,563.0,20.0,80.0,0.6
dal,20212022,82,233.0,244.0,2.841463414634146,2.975609756097561,264.52,233.38,3.225853658536585,2.84609756097561,-31.519999999999982,30.317073170731707,31.048780487804876,56.48780487804878,57.26829268292683,9.372485921158487,0.9041633935585232,54.821280133000826,0.5,0.5,0.53,99.7888252770108,280.0,206.0,93.0,74.0,33.214285714285715,0.6407766990291262,759.0,699.0,2443.0,2621.0,40.0,31.0,218.0,175.0,246.0,257.0,521.0,546.0,20.0,80.0,0.0
