team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,season_type
ANA,20202021,ANA,ANA,Team Level,other,56,0.43,0.53,0.51,8381.0,77.25,13.74,5.67,14.28,2.7,44.86,27.83,13.52,13.74,13.52,74.0,36.0,38.0,148.0,15.0,5.0,2.0,10.0,0.0,35.0,45.0,59.0,95.0,6.0,10.0,72.0,12.0,8.0,9.0,71.0,23.0,16.0,2.77,2.95,8.01,2.0,4.0,9.0,148.0,110.0,110.0,7.0,1.64,1.59,1.59,13.72,13.72,13.56,75.2,18.0,4.98,12.39,2.35,38.26,28.03,17.57,18.0,17.57,80.0,24.0,29.0,133.0,19.0,9.0,2.0,8.0,4.0,30.0,34.0,61.0,85.0,6.0,12.0,67.0,22.0,9.0,20.0,51.0,29.0,24.0,2.03,3.36,12.61,2.0,6.0,11.0,133.0,104.0,104.0,13.0,1.4,3.13,2.3,17.11,17.11,16.82,regular
ANA,20202021,ANA,ANA,Team Level,all,56,0.45,0.48,0.48,204011.0,1538.12,128.14,101.67,357.81,50.34,870.61,647.49,124.02,127.86,123.76,1500.0,657.0,753.0,2910.0,124.0,105.0,17.0,372.0,39.0,633.0,884.0,1376.0,2033.0,203.0,460.0,1591.0,1290.0,309.0,484.0,1675.0,372.0,110.0,46.47,43.92,37.74,41.0,51.0,32.0,2885.8,2157.0,2139.76,273.0,22.04,22.37,22.37,127.74,127.52,125.54,1676.4,157.87,117.76,388.34,56.06,954.93,688.05,152.95,159.67,154.68,1713.0,650.0,736.0,3099.0,177.0,153.0,29.0,393.0,72.0,736.0,832.0,1536.0,2186.0,156.0,380.0,1527.0,1179.0,342.0,551.0,1778.0,431.0,154.0,52.13,51.38,54.36,56.0,63.0,58.0,3151.53,2363.0,2400.1,308.0,25.71,30.91,30.97,152.61,154.13,151.55,regular
ANA,20202021,ANA,ANA,Team Level,5on5,56,0.46,0.49,0.48,167022.0,1243.99,92.81,79.24,300.56,40.73,700.18,528.48,90.23,92.53,89.97,1213.0,529.0,640.0,2382.0,101.0,88.0,14.0,317.0,35.0,495.0,706.0,1112.0,1641.0,182.0,424.0,1282.0,1216.0,260.0,408.0,1374.0,292.0,76.0,37.05,34.7,21.06,38.0,47.0,16.0,2357.8,1742.0,1724.76,235.0,16.24,17.91,17.91,91.14,90.92,89.68,1339.28,110.17,90.01,323.61,45.14,760.38,562.7,106.93,111.98,108.66,1367.0,525.0,606.0,2498.0,123.0,115.0,23.0,337.0,60.0,583.0,674.0,1244.0,1769.0,137.0,336.0,1216.0,1099.0,295.0,463.0,1454.0,342.0,96.0,43.02,40.73,26.42,44.0,50.0,29.0,2550.53,1892.0,1929.1,270.0,18.53,22.59,22.9,105.8,107.31,105.84,regular
ANA,20202021,ANA,ANA,Team Level,4on5,56,0.12,0.14,0.16,16367.0,44.79,3.78,2.16,6.27,1.28,14.95,33.56,3.72,3.78,3.72,51.0,11.0,4.0,66.0,1.0,1.0,0.0,6.0,0.0,8.0,46.0,50.0,61.0,3.0,6.0,129.0,47.0,32.0,35.0,46.0,12.0,4.0,1.27,1.54,0.98,0.0,0.0,1.0,66.0,62.0,62.0,30.0,0.5,0.28,0.28,4.0,4.0,3.96,229.59,26.76,21.14,47.8,7.59,145.68,74.04,25.57,26.76,25.57,235.0,88.0,98.0,421.0,32.0,27.0,3.0,46.0,8.0,116.0,94.0,203.0,291.0,10.0,26.0,152.0,25.0,15.0,44.0,243.0,50.0,30.0,6.26,6.13,14.36,9.0,6.0,17.0,421.0,323.0,323.0,3.0,5.41,4.75,5.33,26.83,26.83,26.04,regular
ANA,20202021,ANA,ANA,Team Level,5on4,56,0.86,0.87,0.85,12241.0,172.09,17.82,14.6,36.71,5.63,110.62,57.62,16.55,17.82,16.55,162.0,81.0,71.0,314.0,7.0,11.0,1.0,39.0,4.0,95.0,87.0,155.0,236.0,12.0,20.0,108.0,15.0,9.0,32.0,184.0,45.0,14.0,5.39,4.73,7.7,1.0,0.0,6.0,314.0,243.0,243.0,1.0,3.65,2.58,2.58,18.88,18.88,18.34,32.35,2.94,1.63,4.54,0.99,10.61,23.28,2.88,2.94,2.88,31.0,13.0,3.0,47.0,3.0,2.0,1.0,2.0,0.0,7.0,30.0,28.0,41.0,3.0,6.0,92.0,33.0,23.0,24.0,30.0,10.0,4.0,0.81,1.16,0.97,1.0,1.0,1.0,47.0,44.0,44.0,22.0,0.38,0.44,0.44,2.87,2.87,2.86,regular
CHI,20202021,CHI,CHI,Team Level,other,56,0.44,0.54,0.52,5233.0,91.9,14.92,6.5,16.69,3.09,52.75,35.12,14.4,14.92,14.4,99.0,31.0,34.0,164.0,22.0,3.0,0.0,17.0,4.0,37.0,47.0,77.0,108.0,2.0,4.0,72.0,19.0,12.0,19.0,83.0,33.0,14.0,3.33,3.98,7.61,7.0,6.0,9.0,164.0,130.0,130.0,12.0,1.94,0.55,0.55,16.25,16.25,15.72,86.86,18.9,5.68,14.75,2.8,43.92,33.02,18.16,18.9,18.16,91.0,29.0,21.0,141.0,20.0,7.0,2.0,15.0,5.0,31.0,42.0,71.0,100.0,0.0,0.0,76.0,23.0,17.0,20.0,71.0,22.0,27.0,2.85,2.77,13.28,5.0,2.0,13.0,141.0,120.0,120.0,11.0,1.65,2.74,2.74,17.74,17.74,17.37,regular
CHI,20202021,CHI,CHI,Team Level,all,56,0.46,0.47,0.46,204920.0,1495.12,137.89,101.5,335.1,48.22,838.29,618.07,134.2,137.77,134.11,1630.0,450.0,755.0,2835.0,159.0,91.0,20.0,382.0,47.0,616.0,785.0,1471.0,1921.0,159.0,344.0,1438.0,1196.0,361.0,537.0,1559.0,403.0,118.0,44.56,48.72,44.61,50.0,65.0,44.0,2813.78,2080.0,2070.89,387.0,22.43,21.89,21.89,138.37,138.34,136.04,1763.92,161.43,120.22,406.8,58.5,987.61,724.51,154.9,162.95,156.35,1879.0,581.0,769.0,3229.0,184.0,139.0,37.0,394.0,54.0,772.0,917.0,1695.0,2276.0,181.0,384.0,1666.0,1451.0,392.0,547.0,1849.0,457.0,154.0,52.47,55.35,53.61,61.0,55.0,68.0,3274.18,2460.0,2488.86,354.0,26.17,31.94,32.01,155.53,156.91,153.8,regular
CHI,20202021,CHI,CHI,Team Level,5on5,56,0.45,0.46,0.45,167867.0,1156.69,90.93,74.78,270.95,37.63,648.12,489.59,88.68,90.81,88.58,1255.0,357.0,615.0,2227.0,100.0,67.0,12.0,307.0,35.0,470.0,633.0,1155.0,1512.0,148.0,324.0,1125.0,1110.0,302.0,450.0,1232.0,318.0,62.0,34.9,38.54,17.49,37.0,49.0,14.0,2205.78,1612.0,1602.88,340.0,15.38,13.92,13.92,92.38,92.35,91.21,1413.13,111.86,93.32,339.0,46.93,793.67,588.21,107.52,113.38,108.97,1494.0,479.0,651.0,2624.0,126.0,107.0,28.0,334.0,40.0,625.0,741.0,1368.0,1847.0,164.0,350.0,1284.0,1354.0,317.0,439.0,1519.0,367.0,87.0,42.99,44.41,24.47,45.0,50.0,31.0,2669.18,1973.0,2001.86,296.0,19.2,21.68,22.06,109.01,110.39,108.56,regular
CHI,20202021,CHI,CHI,Team Level,4on5,56,0.14,0.13,0.15,14600.0,40.55,4.15,1.97,5.68,1.13,12.16,27.91,4.07,4.15,4.07,47.0,6.0,6.0,59.0,2.0,1.0,0.0,3.0,0.0,10.0,37.0,45.0,51.0,5.0,10.0,102.0,43.0,33.0,31.0,37.0,11.0,5.0,1.18,1.53,1.45,0.0,1.0,1.0,59.0,53.0,53.0,29.0,0.45,0.18,0.18,4.42,4.42,4.33,214.92,25.55,18.74,46.49,7.35,134.91,68.95,24.18,25.55,24.18,237.0,65.0,88.0,390.0,33.0,22.0,6.0,39.0,8.0,106.0,94.0,204.0,269.0,10.0,20.0,146.0,24.0,12.0,45.0,217.0,53.0,32.0,5.63,6.39,13.54,9.0,3.0,21.0,390.0,302.0,302.0,8.0,4.74,6.73,6.42,23.88,23.88,23.04,regular
CHI,20202021,CHI,CHI,Team Level,5on4,56,0.84,0.84,0.81,17220.0,205.98,27.89,18.25,41.79,6.36,125.26,65.46,27.06,27.89,27.06,229.0,56.0,100.0,385.0,35.0,20.0,8.0,55.0,8.0,99.0,68.0,194.0,250.0,4.0,6.0,139.0,24.0,14.0,37.0,207.0,41.0,37.0,5.14,4.68,18.06,6.0,9.0,20.0,385.0,285.0,285.0,6.0,4.66,7.23,7.23,25.32,25.32,24.78,49.01,5.12,2.47,6.56,1.42,15.11,34.33,5.04,5.12,5.04,57.0,8.0,9.0,74.0,5.0,3.0,1.0,6.0,1.0,10.0,40.0,52.0,60.0,7.0,14.0,160.0,50.0,46.0,43.0,42.0,15.0,8.0,1.01,1.79,2.33,2.0,0.0,3.0,74.0,65.0,65.0,39.0,0.58,0.79,0.79,4.9,4.9,4.83,regular
