Date,Away_Team,Home_Team,Away_Score,Home_Score,Actual_Total
2023-11-08,Florida Atlantic,Loyola Chicago,75,62,137
2023-11-15,Rice,Texas,64,80,144
2023-11-16,Houston,Towson,65,49,114
2023-11-25,Alabama,Oregon,99,91,190
2023-11-27,New Hampshire,UConn,64,84,148
2023-12-04,Iowa,Purdue,68,87,155
2023-12-11,Mississippi Valley State,Gonzaga,40,78,118
2023-12-15,UConn,Gonzaga,76,63,139
2023-12-28,Central Arkansas,Oklahoma,72,88,160
2024-01-01,UT Arlington,Texas,62,79,141
2024-01-07,SMU,Memphis,59,62,121
2024-01-15,Villanova,Marquette,74,87,161
2024-01-19,Indiana,Wisconsin,79,91,170
2024-01-25,Arizona,Oregon State,80,83,163
2024-01-26,Michigan State,Wisconsin,66,81,147
2024-02-05,Kansas,Kansas State,70,75,145
2024-02-11,Florida Atlantic,Wichita State,95,82,177
2024-02-19,Iowa State,Houston,65,73,138
2024-03-03,Seton Hall,UConn,61,91,152
2024-03-12,Gonzaga,Saint Mary's,60,69,129
2024-04-08,Purdue,UConn,60,75,135
