game_id,pulling_team,score_diff,seconds_remaining,time_remaining
21289,PIT,-2,7,00:07
21290,BUF,-2,90,01:30
21291,WSH,-1,111,01:51
21295,OTT,-1,108,01:48
21297,FLA,-2,140,02:20
21299,WSH,0,180,03:00
21300,WPG,-1,3,00:03
21301,VGK,-1,96,01:36
21303,NYI,-1,68,01:08
21304,TBL,-3,162,02:42
21306,ARI,-2,255,04:15
21307,SEA,-1,106,01:46
21308,WPG,-1,125,02:05
21311,ANA,-2,15,00:15
30111,FLA,-1,125,02:05
30113,FLA,-1,83,01:23
30115,FLA,-3,237,03:57
30121,BOS,-3,128,02:08
30122,TOR,-1,7,00:07
30123,BOS,-1,68,01:08
30124,BOS,-2,95,01:35
30126,TOR,-2,103,01:43
30132,NYR,-1,162,02:42
30133,NYR,-2,14,00:14
30134,NYR,-1,51,00:51
30141,CAR,-1,92,01:32
30142,CAR,-1,56,00:56
30145,CAR,-2,99,01:39
30151,VGK,-1,74,01:14
30152,VGK,-1,34,00:34
30154,DAL,-1,82,01:22
30155,DAL,-1,33,00:33
30156,VGK,-1,19,00:19
30162,COL,-2,57,00:57
30163,COL,-3,215,03:35
30164,COL,-3,13,00:13
30165,COL,-2,107,01:47
30171,VAN,-1,88,01:28
30172,NSH,-2,113,01:53
30174,NSH,-1,111,01:51
30181,EDM,-2,26,00:26
30211,BOS,-3,272,04:32
30213,FLA,-2,84,01:24
30225,CAR,-2,211,03:31
30226,NYR,-1,49,00:49
30232,DAL,-1,32,00:32
30233,DAL,-1,97,01:37
30234,DAL,-3,173,02:53
30235,COL,-2,138,02:18
30243,VAN,-2,119,01:59
30311,FLA,-2,79,01:19
30315,FLA,-1,112,01:52
30322,DAL,-1,123,02:03
30323,DAL,-1,112,01:52
30324,EDM,-2,113,01:53
30325,EDM,-2,11,00:11
30411,FLA,-2,5,00:05
30412,FLA,-2,148,02:28
30413,FLA,-1,64,01:04
30415,EDM,-1,77,01:17
30416,EDM,-2,195,03:15
30417,FLA,-1,27,00:27
