game_id,pulling_team,score_differential,period,goals_by_pulling_team,goals_by_opponent,total_goals_after_pull,outcome,pulling_team_tied_game
20828,COL,-1,3,2,0,2,pulling_team_scored,True
20830,DAL,-1,3,1,0,1,pulling_team_scored,True
20831,NJD,-1,3,1,0,1,pulling_team_scored,True
20832,VAN,-2,3,0,0,0,no_goal,True
20837,SEA,-2,3,1,0,1,pulling_team_scored,True
20838,FLA,-2,3,2,0,2,pulling_team_scored,True
20842,TBL,-1,3,2,0,2,pulling_team_scored,True
20844,STL,-2,3,1,0,1,pulling_team_scored,True
20845,PIT,-2,3,1,0,1,pulling_team_scored,True
20855,NSH,-2,3,1,0,1,pulling_team_scored,True
20857,WSH,-1,3,0,0,0,no_goal,True
20859,NJD,-2,3,1,0,1,pulling_team_scored,True
20863,NYI,-1,3,0,2,2,opponent_scored,True
20865,LAK,-1,3,0,0,0,no_goal,True
20868,TOR,-2,3,1,1,2,both_scored,True
20869,MIN,-1,3,2,0,2,pulling_team_scored,True
20871,EDM,-2,3,1,0,1,pulling_team_scored,True
20872,CGY,-2,3,1,0,1,pulling_team_scored,True
20874,CAR,-2,3,1,0,1,pulling_team_scored,True
20875,OTT,-2,3,0,0,0,no_goal,True
20877,NYR,-1,3,1,0,1,pulling_team_scored,True
20880,WPG,-2,3,1,0,1,pulling_team_scored,True
20881,COL,-1,3,1,0,1,pulling_team_scored,True
20882,NSH,-1,3,1,0,1,pulling_team_scored,True
20885,PHI,-2,3,0,0,0,no_goal,True
20886,CBJ,-2,3,1,0,1,pulling_team_scored,True
20893,PIT,-2,3,1,0,1,pulling_team_scored,True
20894,WSH,-1,3,1,0,1,pulling_team_scored,True
20895,STL,-3,3,1,0,1,pulling_team_scored,True
20897,SEA,-2,3,1,0,1,pulling_team_scored,True
20899,NSH,-1,3,2,0,2,pulling_team_scored,True
20902,MIN,-1,3,1,0,1,pulling_team_scored,True
20904,TBL,-1,3,1,0,1,pulling_team_scored,True
20912,CGY,-3,3,1,1,2,both_scored,True
20914,NSH,-1,3,1,0,1,pulling_team_scored,True
20916,TBL,-2,3,1,0,1,pulling_team_scored,True
20917,PIT,-1,3,0,0,0,no_goal,True
20922,NSH,-1,3,1,0,1,pulling_team_scored,True
20929,MTL,-1,3,1,0,1,pulling_team_scored,True
20930,PHI,-3,3,2,1,3,both_scored,True
20931,VGK,-2,3,2,0,2,pulling_team_scored,True
20935,CGY,-1,3,1,0,1,pulling_team_scored,True
20939,NYR,-1,3,2,0,2,pulling_team_scored,True
20942,CAR,-1,3,1,0,1,pulling_team_scored,True
20943,NYI,-1,3,1,0,1,pulling_team_scored,True
20946,TOR,-1,3,1,0,1,pulling_team_scored,True
20947,DAL,-2,3,1,0,1,pulling_team_scored,True
20952,ANA,-1,3,1,0,1,pulling_team_scored,True
20953,ARI,-1,3,1,0,1,pulling_team_scored,True
20956,WPG,-1,3,1,0,1,pulling_team_scored,True
20959,NSH,-3,3,1,0,1,pulling_team_scored,True
20962,PHI,-1,3,1,0,1,pulling_team_scored,True
20964,TOR,-1,3,0,1,1,opponent_scored,True
20965,CBJ,-2,3,1,0,1,pulling_team_scored,True
20967,STL,-1,3,1,0,1,pulling_team_scored,True
20968,CGY,-1,3,0,0,0,no_goal,True
20969,ARI,-2,3,1,0,1,pulling_team_scored,True
20970,LAK,-3,3,1,0,1,pulling_team_scored,True
20971,WPG,-1,3,2,0,2,pulling_team_scored,True
20975,CBJ,-2,3,1,0,1,pulling_team_scored,True
20976,FLA,-1,3,1,0,1,pulling_team_scored,True
20982,FLA,-1,3,1,0,1,pulling_team_scored,True
20983,PIT,-2,3,0,0,0,no_goal,True
20984,NYI,-1,3,1,0,1,pulling_team_scored,True
20987,CHI,-2,3,1,0,1,pulling_team_scored,True
20992,ANA,-1,3,0,0,0,no_goal,True
20994,CAR,-2,3,1,0,1,pulling_team_scored,True
20995,CBJ,-1,3,1,0,1,pulling_team_scored,True
20997,NJD,-2,3,1,0,1,pulling_team_scored,True
20999,CGY,-3,3,1,1,2,both_scored,True
21000,NSH,-2,3,0,0,0,no_goal,True
21001,MIN,-1,3,2,0,2,pulling_team_scored,True
21002,VAN,-2,3,0,0,0,no_goal,True
21008,WPG,-2,3,1,0,1,pulling_team_scored,True
21011,CAR,-1,3,2,1,3,both_scored,True
21020,VGK,-1,3,1,0,1,pulling_team_scored,True
21021,DAL,-2,3,1,0,1,pulling_team_scored,True
21025,CHI,-2,3,1,0,1,pulling_team_scored,True
21027,STL,-3,3,1,0,1,pulling_team_scored,True
21028,NYR,-1,3,1,0,1,pulling_team_scored,True
21030,LAK,-2,3,1,0,1,pulling_team_scored,True
21032,NYR,-1,3,0,0,0,no_goal,True
21036,FLA,-1,3,0,0,0,no_goal,True
21037,MIN,-1,3,2,0,2,pulling_team_scored,True
21041,STL,-2,3,0,0,0,no_goal,True
21045,BUF,-3,3,1,0,1,pulling_team_scored,True
21046,CAR,-3,3,1,0,1,pulling_team_scored,True
21048,ARI,-2,3,1,0,1,pulling_team_scored,True
21051,PIT,-2,3,1,0,1,pulling_team_scored,True
21052,TBL,-2,3,1,0,1,pulling_team_scored,True
21055,CGY,-2,3,1,0,1,pulling_team_scored,True
21059,DET,-2,3,1,0,1,pulling_team_scored,True
21061,NYR,-2,3,1,0,1,pulling_team_scored,True
21062,ARI,-2,3,1,0,1,pulling_team_scored,True
21063,TBL,-1,3,1,0,1,pulling_team_scored,True
21065,CBJ,-1,3,1,0,1,pulling_team_scored,True
21067,TOR,-2,3,0,2,2,opponent_scored,True
21071,NSH,-2,3,1,0,1,pulling_team_scored,True
21074,VGK,-1,3,1,0,1,pulling_team_scored,True
21076,CHI,-2,3,1,0,1,pulling_team_scored,True
21078,PIT,-3,3,1,1,2,both_scored,True
21079,STL,-3,3,0,1,1,opponent_scored,True
21080,WSH,-2,3,1,0,1,pulling_team_scored,True
21083,CBJ,-1,3,0,2,2,opponent_scored,True
21085,WPG,-1,3,1,0,1,pulling_team_scored,True
21087,CAR,-2,3,1,0,1,pulling_team_scored,True
